ID	TARGET	TEXT	STANCE
1	深圳禁摩限电	"深圳禁摩限电行动，下面四类情况一律拘留：1、对无证驾驶摩托车的，一律予以行政拘留。2、对利用电动自行车、电动三轮车兜客揽客实施非法营运的，一律以扰乱公共场所秩序予以行政拘留。
3、对违规使用电动(机动)三轮车的，一律予以行政拘留。4、对“涉摩涉电”暴力抗法行为，触犯有关法律法规的，一律依法行政拘留或刑事拘留。没看出哪儿有问题啊？"	FAVOR
2	深圳禁摩限电	本来就应该禁，有些人就是觉得你弱你有理，逆道行驶，违规载客，要是遵守交通规则还好说，你能想像台湾人一样守规矩？政策有时候就是不应该被舆论影响	FAVOR
3	深圳禁摩限电	对于这种禁了再卖官方货，你有什么想法	AGAINST
4	深圳禁摩限电	只要骑电动车，拘不拘还不是警察说的算	AGAINST
5	深圳禁摩限电	其实关键就是增加交警对电动车的审批权，至于审批多少、增加多少，这些都不是关键，只要拿到“合法的”审批权，目的就达到了，未来会如何就很难说 	AGAINST
6	深圳禁摩限电	什么都抓社会底层的人，古人有君子犯法与平民同罪，现在富豪犯法比“君子”好多了，基本无罪	AGAINST
7	深圳禁摩限电	标准没制定好，配套的管理措施没有，相关的市场监管没有，嗯，出了问题板子打在了群众身上。当年鸦片泛滥的时候，我们历史书还教育我们重要的原因是因为腐败无能的政府。选择性的依法行政，尤其是针对群众选择性的依法行政，这不是法治，而是以法律的名义公然耍流氓。 	AGAINST
8	深圳禁摩限电	强烈要求青岛也实行	FAVOR
9	深圳禁摩限电	深圳管的挺好…… 	FAVOR
10	深圳禁摩限电	说出自己的观点就好。无需跟他人辩论：你跟他们讲法，他们跟你讲理；你跟他们讲理，他们跟你讲法。 	NONE
11	深圳禁摩限电	深圳“禁摩限电”目前已经进入第三周。昨日，执法行动查扣了非法营运三轮车、摩托车、电动自行车共计1001辆，拘留无证78人。外卖行业的超标电动车，也被列入执法对象范围内。民警表示，外卖行业多为短途运送，需使用自行车遵规行驶。	NONE
12	深圳禁摩限电	为了好管理，就一禁了之，这样的管理水平，懒政真是懒到了一定程度了。 	AGAINST
13	深圳禁摩限电	支持禁了电动车， 摩托车需考牌！  电动车速度太快又不遵守交规还走非机动车道， 见过太多因电动车出的事故了。 ps：我在北京	FAVOR
14	深圳禁摩限电	广州的也给全部禁了吧，特别是摩托车，容易出事！	FAVOR
15	深圳禁摩限电	半个月钱旁边超市门口出现轿车撞到电动车了，电动车车主被送到医院了，事故还蛮大的 	FAVOR
16	深圳禁摩限电	非常支持，希望尽快全国推广，现在大量的城市交通事故都与电动摩托车有关 	FAVOR
17	深圳禁摩限电	上海应该也这样。助动车在人行道上窜来窜去太吓人了 	FAVOR
18	深圳禁摩限电	外卖小哥骑着电动车横冲直撞、险象环生，既然自己不会自律，就怨不得被管被禁 	FAVOR
