ID	TARGET	TEXT
1	朝鲜核试验	没关系，炸不到北京，所以我兲朝在联合国的票该弃权还是照旧弃权。当然，中方继续表示强烈反对！
2	朝鲜核试验	金家就是中国的祸害！在百公里不到的距离[怒]核辐射怎么不影响呢！
3	朝鲜核试验	中国哪天不这么巨额援助朝鲜了，估计这核弹就扔过来了吧。
4	朝鲜核试验	1立即关闭中朝边境2停止一切经贸和援助3冻结朝鲜在华一切资产4联合美国责令朝鲜冻结核设施，交由联合国管理直至销毁5做好摧毁朝鲜的一切准备。朝鲜拥有核武器它不会往吉林投，离它太近，它只能往北京投，反过来中国不能往朝鲜投离中国太近；无论如何朝鲜拥核中国都是第一受害国
5	朝鲜核试验	据传朝鲜（疑似）核试了一枚氢弹，这厢浅源地震都探测到了，朝鲜人民真威武，社会主义就是好，主体思想光芒万丈，中朝友谊万古长青（不会编了[挖鼻]
6	朝鲜核试验	朝鲜就是地痞流氓国家！美国该考虑怎么收拾三胖了，我们国家不能让这个胖子再任性了，必须拿出实际行动制裁！
7	朝鲜核试验	这都是50年代自己造的孽[酷]
8	朝鲜核试验	有本事你丢一颗去北京，算你有本事
9	朝鲜核试验	天朝又被邻居打脸了
10	朝鲜核试验	朝鲜：大哥 有个好事忘了提前和您说，我现在有氢弹了。中国：长本事了，以后有事自己担着，我再不管了。朝鲜：不行大哥，大事还要您帮我扛着。中国：为什么？朝鲜：我现在水平只能把氢弹扔您家里，美帝隔的太远，我扔不过去…
11	朝鲜核试验	是地震了！疑似朝鲜核试验，大家不要惊慌。 我仅代表 个人对此次事件表示关切，并对朝方是否已经提前通知我人民解放军有关部门表示怀疑。
12	朝鲜核试验	每次听到朝鲜核试验的消息我都会翻出《人民防空地下室设计规范》来认真的翻看，感谢三胖对我专业知识学习的督促。
13	朝鲜核试验	果断点儿就应该来个斩首行动，同时发动闪电战控制住核设施。。。
14	朝鲜核试验	离爆破点最近的可是我国啊[笑cry]我们真是皇帝不急太监急，死了也是命衰
15	朝鲜核试验	若氢弹是有心人送三胖，三胖敢乱来，放一个镇的城管即可收复
16	朝鲜核试验	今年的粮食没有了。[拜拜][拜拜][拜拜]
17	朝鲜核试验	朝鲜人自己把自己弄死咱们管不着，万一核爆炸的污染传到中国来怎么办！为吉林的同胞们担忧啊
18	朝鲜核试验	对于负责任的大国而言，自己约的炮，含着泪也要慢慢打
19	朝鲜核试验	自食恶果，“负责人的大国”继续在联合国投反对票吧
20	朝鲜核试验	朝鲜核试验的目的是想通过耍无赖的手段和美国直接对话，中国知道朝鲜的用意，也知道这个小弟早就不把大哥放在眼里了。很多人有疑问，为什么中国对朝鲜一忍再忍？其实道理很简单，作为地区大国，中国乐见朝鲜半岛局势紧张，希望他们瞎折腾，不管是打还是谈，最后都绕不开中国。
21	朝鲜核试验	下班回家路上突然听到一声“BOOM”的巨响，刚想是什么东西爆炸了，结果旁边卖煎饼的大叔说了句：“朝鲜核试验成功了！”我独自在风中凌乱啊[偷笑][偷笑][偷笑]吓死宝宝了
22	朝鲜核试验	屁都没见你们放一个[抓狂]
23	朝鲜核试验	朝鲜又核试了，作为朝鲜的血盟邻国，又一次无奈的加入了谴责的行列里。但换位想一想，作为一个小国，美韩日天天对其搞军演，天天想推翻其政权，中国既没谴责，也没承诺保护，朝鲜凭什么听你的，只能图自保。美日携手围堵中国，中国不也感受到威胁了吗，何况小小的朝鲜。
24	朝鲜核试验	沙特阿拉伯国王我表示强烈谴责[怒]
25	朝鲜核试验	当年独断专行 现在养虎为患了 怪不了别人
26	朝鲜核试验	想摆脱中国裤带更松
27	朝鲜核试验	美帝不急的理由:疯狗会咬人，但嘴没那么长，咬不到他。另疯狗谁养大的就该谁去打。
28	朝鲜核试验	我家距离朝鲜核试验场只有300公里，是不有危险啊？！怎么办？！孩子让去南方躲躲，俺的鸡鸭鹅狗怎么办？俺的老黄牛怎么办？愁人！
29	朝鲜核试验	三胖=流氓+乞丐，震坏我大东北，感觉是向我国示威多一点。
30	朝鲜核试验	強烈譴責朝鮮核試驗。朝鮮核試驗地址緊靠中朝邊境，如果產生意外將對整個中國東北產生不可估量的影響甚至造成災難性的後果。朝鮮不顧鄰國安危一意孤行，必須受到國際譴責與制裁。希望中國立即停止對朝鮮的各方面支援並且進行經濟制裁。
31	朝鲜核试验	选这么一地方……送他一个钻天猴，特制的，为了我们两国的友谊！
32	朝鲜核试验	无核化是不可能实现了，希望克制，不首先使用核武器！就很好了！
