ID	TARGET	TEXT	STANCE	WORDS	IS_CORRECT	PREDICT
1	IphoneSE	根据市场分析机构Localytics周一公布的数据，iPhone SE正式上市的这个周末，销量成绩并不算太好。	NONE	根据 市场 分析 机构 localytics 周一 公布 数据 iphone se 正式 上市 这个 周末 销量 成绩 并 不算 太 好	False	AGAINST
4	IphoneSE	iPhone SE官网已经要2-3周发货了，也真是一件神奇的事情……	AGAINST	iphone se 官 网 已经 要 NUMBER NUMBER 周 发货 也 真是 一件 神奇 事情	True	AGAINST
8	IphoneSE	iPhone SE的外观太让人失望了，也许价格会成吸引点吧	AGAINST	iphone se 外观 太 让 人 失望 也许 价格 会 成 吸引 点	False	FAVOR
13	IphoneSE	6S太大，5S想买个用，但是发现这个了以后就一直等着。	FAVOR	NUMBER s 太大 NUMBER s 想买 个 用 但是 发现 这个 以后 就 一直 等 着	True	FAVOR
22	IphoneSE	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	FAVOR	系统 没得 没得说 苹果 做 就是 系统 开 很多 后台 依然 流畅 再 好 安 卓 时间 长 照样 卡 成 屎	True	FAVOR
25	IphoneSE	iphone SE 这配置…这价格…真的吧国产机秒的渣都不剩？还有什么理由不用它？因为没有情怀么？	FAVOR	iphone se 这 配置 这 价格 真的 国产 国产机 秒 渣 都 不剩 还有 什么 理由 不用 它 因为 没有 情怀 么	False	AGAINST
26	IphoneSE	双面玻璃反光时尚，但易碎，如果库克能在4的基础下进行改良，相信销售也不会下滑吧。关于SE我相信乔布斯不会出一样的产品	AGAINST	双面 玻璃 反光 时尚 但 易碎 如果 库克 能 在 NUMBER 基础 下 进行 改良 相信 销售 也 不会 下滑 关于 se 我 相信 乔布 乔布斯 布斯 不会 出 一样 产品	True	AGAINST
27	IphoneSE	黑粉们哪个牌子派来的去哪里带着去，有意思吗？不喜欢就不要买，到处乱喷 这就是素质。	FAVOR	黑粉 们 哪个 牌子 派来 去 哪里 带 着 去 有意 有意思 意思 吗 不 喜欢 就 不要 买 到处 乱 喷 这 就是 素质	True	FAVOR
29	IphoneSE	手机中的小钢炮 大屏幕手机可能很多人喜欢 但是无意也会有喜欢小屏幕 高性能的手机 我觉得这是首选 价格上也比较合理	FAVOR	手机 中 小钢炮 钢炮 大屏幕 屏幕 手机 可能 很多 人 喜欢 但是 无意 也 会 有 喜欢 小 屏幕 高性 高性能 性能 手机 我 觉得 这 是 首选 价格 上 也 比较 合理	False	AGAINST
47	IphoneSE	但也与行业的猜测没有什么大出入。把iPhone6s的性能配置，放进了iPhone5S的外形中，iPhoneSE有了一种重拾经典的意味	FAVOR	但 也 与 行业 猜测 没有 什么 大 出入 把 iphone6s 性能 配置 放进 iphone5s 外形 中 iphonese 有 一种 重拾 经典 意味	False	AGAINST
52	IphoneSE	怪不得已爬楼层没有数据，原来是#iPhoneSE# 没有气压计！	AGAINST	怪不得 不得 已 爬 楼层 没有 数据 原来 是 iphonese 没有 气压 气压计	False	FAVOR
63	IphoneSE	惯了大屏手机 #iPhoneSE# 这小手机放兜里总怕丢了 感受不到它的存在	AGAINST	惯 大 屏 手机 iphonese 这 小 手机 放 兜里 总怕 丢 感受 不到 它 存在	False	NONE
64	IphoneSE	iPhonese 三星盖乐世S7/S7edge、vivoX5play OPPO R9 meizu pro6 华为P9 zuk 乐视max2都相继问世 堪称手机世界大战啊	NONE	iphonese 三星 盖 乐 世 s7 s7edge vivox5play oppo r9 meizu pro6 华为 p9 zuk 乐 视 max2 都 相继 相继问世 问世 堪称 手机 世界 世界大战 大战 啊	False	FAVOR
