WORD	FREQ	FAVOR	AGAINST	NONE	SUPPORT
底层,政府	6	0	6	0	1.000000
底层,汽车	6	0	6	0	1.000000
底层,禁	15	0	15	0	1.000000
生存,环保	5	0	5	0	1.000000
生存,今年	5	0	5	0	1.000000
生存,环境	8	0	8	0	1.000000
生存,少	6	0	6	0	1.000000
单手,单手操作	10	10	0	0	1.000000
单手,操作	11	11	0	0	1.000000
环保局,倡议	7	0	7	0	1.000000
环保局,环保	11	0	11	0	1.000000
环保局,烟花爆竹	6	0	6	0	1.000000
环保局,爆竹	8	0	8	0	1.000000
环保局,市	6	0	6	0	1.000000
环保局,空气	5	0	5	0	1.000000
环保局,市民	5	0	5	0	1.000000
环保局,少	5	0	5	0	1.000000
环保局,烟花	7	0	7	0	1.000000
单手操作,单手	10	10	0	0	1.000000
单手操作,操作	10	10	0	0	1.000000
从我做起,做起	10	0	10	0	1.000000
从我做起,环保	7	0	7	0	1.000000
从我做起,今年	5	0	5	0	1.000000
从我做起,少	5	0	5	0	1.000000
超女,美少女	9	0	0	9	1.000000
超女,无敌	9	0	0	9	1.000000
超女,锅铲	5	0	0	5	1.000000
超女,少女	9	0	0	9	1.000000
超女,小妹	5	0	0	5	1.000000
超女,帅	9	0	0	9	1.000000
超女,腿	9	0	0	9	1.000000
超女,青春	9	0	0	9	1.000000
超女,任	9	0	0	9	1.000000
美少女,超女	9	0	0	9	1.000000
美少女,无敌	9	0	0	9	1.000000
美少女,锅铲	5	0	0	5	1.000000
美少女,少女	9	0	0	9	1.000000
美少女,小妹	5	0	0	5	1.000000
美少女,帅	9	0	0	9	1.000000
美少女,腿	9	0	0	9	1.000000
美少女,青春	9	0	0	9	1.000000
美少女,任	9	0	0	9	1.000000
时间表,同一	8	0	0	8	1.000000
时间表,扎堆	8	0	0	8	1.000000
时间表,申请	9	0	0	9	1.000000
时间表,员工	9	0	0	9	1.000000
时间表,避免	8	0	0	8	1.000000
时间表,根据	9	0	0	9	1.000000
时间表,须	6	0	0	6	1.000000
时间表,随着	9	0	0	9	1.000000
时间表,工作	8	0	0	8	1.000000
时间表,提前	9	0	0	9	1.000000
时间表,长春	8	0	0	8	1.000000
无敌,超女	9	0	0	9	1.000000
无敌,美少女	9	0	0	9	1.000000
无敌,锅铲	5	0	0	5	1.000000
无敌,少女	9	0	0	9	1.000000
无敌,小妹	5	0	0	5	1.000000
无敌,帅	9	0	0	9	1.000000
无敌,腿	9	0	0	9	1.000000
无敌,青春	9	0	0	9	1.000000
无敌,任	9	0	0	9	1.000000
红绿灯,红绿	8	8	0	0	1.000000
红绿灯,绿灯	8	8	0	0	1.000000
红绿灯,交警	5	5	0	0	1.000000
红绿灯,禁	5	5	0	0	1.000000
红绿,红绿灯	8	8	0	0	1.000000
红绿,绿灯	8	8	0	0	1.000000
