WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
青春,超女	9	0	0	9	1.0
青春,美少女	9	0	0	9	1.0
青春,无敌	9	0	0	9	1.0
青春,少女	9	0	0	9	1.0
青春,任	9	0	0	9	1.0
根据,申请	9	0	0	9	1.0
根据,时间表	9	0	0	9	1.0
根据,员工	9	0	0	9	1.0
员工,申请	9	0	0	9	1.0
员工,根据	9	0	0	9	1.0
员工,时间表	9	0	0	9	1.0
任,青春	9	0	0	9	1.0
任,超女	9	0	0	9	1.0
任,腿	9	0	0	9	1.0
任,美少女	9	0	0	9	1.0
任,无敌	9	0	0	9	1.0
任,帅	9	0	0	9	1.0
任,少女	9	0	0	9	1.0
避免,申请	8	0	0	8	1.0
避免,根据	8	0	0	8	1.0
避免,时间表	8	0	0	8	1.0
避免,扎堆	8	0	0	8	1.0
避免,员工	8	0	0	8	1.0
避免,同一	8	0	0	8	1.0
根据,避免	8	0	0	8	1.0
根据,扎堆	8	0	0	8	1.0
根据,同一	8	0	0	8	1.0
员工,避免	8	0	0	8	1.0
员工,扎堆	8	0	0	8	1.0
员工,同一	8	0	0	8	1.0
须,避免	6	0	0	6	1.0
须,申请	6	0	0	6	1.0
须,根据	6	0	0	6	1.0
须,时间表	6	0	0	6	1.0
须,扎堆	6	0	0	6	1.0
须,同一	6	0	0	6	1.0
避免,须	6	0	0	6	1.0
根据,须	6	0	0	6	1.0
青春,锅铲	5	0	0	5	1.0
青春,小妹	5	0	0	5	1.0
任,锅铲	5	0	0	5	1.0
任,小妹	5	0	0	5	1.0
骑,汽车	5	0	5	0	1.0
饺子,春晚	5	5	0	0	1.0
鞭,霾	6	0	6	0	1.0
鞭,雾	5	0	5	0	1.0
霾,鞭	6	0	6	0	1.0
霾,蓝天	7	0	7	0	1.0
霾,每	5	0	5	0	1.0
霾,承诺	5	0	5	0	1.0
霾,做起	5	0	5	0	1.0
霾,产生	7	0	7	0	1.0
雾,鞭	5	0	5	0	1.0
雾,蓝天	5	0	5	0	1.0
雾,承诺	5	0	5	0	1.0
难道,政府	6	0	6	0	1.0
送,社会	6	0	6	0	1.0
过节,环保	6	0	6	0	1.0
车,政府	5	0	5	0	1.0
贴,穿	5	5	0	0	1.0
贴,春晚	7	7	0	0	1.0
贴,新衣	5	5	0	0	1.0
贴,户户	5	5	0	0	1.0
贴,感受	8	8	0	0	1.0
贴,年夜饭	5	5	0	0	1.0
贴,年夜	5	5	0	0	1.0
贴,家户	5	5	0	0	1.0
贴,家家户户	5	5	0	0	1.0
贴,家家	6	6	0	0	1.0
贴,夜饭	5	5	0	0	1.0
贴,回家	8	8	0	0	1.0
贴,亲戚	6	6	0	0	1.0
贴,中华民族	6	6	0	0	1.0
贴,中华	6	6	0	0	1.0
谁,到底	5	0	5	0	1.0
记得,小时候	7	7	0	0	1.0
记得,小时	7	7	0	0	1.0
计划生育,断崖	5	0	5	0	1.0
计划生育,式	5	0	5	0	1.0
计划生育,减少	5	0	5	0	1.0
计划,断崖	5	0	5	0	1.0
计划,式	5	0	5	0	1.0
计划,减少	5	0	5	0	1.0
解决,解决问题	6	0	6	0	1.0
解决,老百姓	6	0	6	0	1.0
解决,百姓	7	0	7	0	1.0
解决,就业	5	0	5	0	1.0
觉得,喜欢	8	8	0	0	1.0
营运,实施	5	5	0	0	1.0
节日,团圆	6	6	0	0	1.0
节日,喜欢	8	8	0	0	1.0
