WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
歧视,女性	6	1	5	0	0.833333
兜,客	6	6	0	0	1.000000
ipad,pro	6	1	0	5	0.833333
志愿,愿者	5	1	4	0	0.800000
志愿,志愿者	5	1	4	0	0.800000
各界,爆竹	5	0	4	1	0.800000
值,颜	5	4	0	1	0.800000
老百姓,买不起	7	0	7	0	1.000000
老百姓,社会	7	0	7	0	1.000000
老百姓,政府	8	1	7	0	0.875000
老百姓,解决	6	0	6	0	1.000000
老百姓,汽车	9	1	8	0	0.888889
外卖,餐饮业	27	3	24	0	0.888889
外卖,对准	27	3	24	0	0.888889
外卖,餐饮	28	3	24	1	0.857143
外卖,社会	5	0	5	0	1.000000
外卖,送	32	6	26	0	0.812500
外卖,车	5	1	4	0	0.800000
一代,计划生育	6	1	5	0	0.833333
一代,计划	6	1	5	0	0.833333
春联,年货	10	9	1	0	0.900000
春联,亲戚	5	5	0	0	1.000000
春联,春晚	6	6	0	0	1.000000
春联,感受	6	6	0	0	1.000000
春联,喜欢	5	4	0	1	0.800000
春联,一起	8	8	0	0	1.000000
春联,回家	7	7	0	0	1.000000
春联,吃	5	4	0	1	0.800000
操作,单手	11	11	0	0	1.000000
操作,单手操作	10	10	0	0	1.000000
操作,喜欢	5	4	1	0	0.800000
尽量,燃放烟花	6	0	6	0	1.000000
尽量,放烟	6	0	6	0	1.000000
鞭,环保	6	1	5	0	0.833333
鞭,霾	6	0	6	0	1.000000
鞭,今年	5	1	4	0	0.800000
鞭,雾	5	0	5	0	1.000000
添,首映	5	4	0	1	0.800000
添,首映礼	5	4	0	1	0.800000
添,月份	7	7	0	0	1.000000
添,合伙人	7	6	0	1	0.857143
添,合伙	7	6	0	1	0.857143
添,土豆	11	9	0	2	0.818182
添,小土豆	11	9	0	2	0.818182
添,小土	11	9	0	2	0.818182
添,梦想	7	6	0	1	0.857143
有钱,没钱	5	0	5	0	1.000000
撞,逆行	5	5	0	0	1.000000
拒绝,爆竹	5	1	4	0	0.800000
动力,劳动力	12	0	11	1	0.916667
动力,劳动	12	0	11	1	0.916667
动力,鼓励	5	0	5	0	1.000000
生产,政府	5	0	5	0	1.000000
感受,春联	6	6	0	0	1.000000
感受,贴	8	8	0	0	1.000000
感受,味儿	5	5	0	0	1.000000
低,碳	14	1	13	0	0.928571
低,今年春节	7	0	7	0	1.000000
低,环保	14	1	13	0	0.928571
低,爆竹	5	0	5	0	1.000000
低,今年	8	0	8	0	1.000000
贴,年货	11	10	1	0	0.909091
贴,亲戚	6	6	0	0	1.000000
贴,新衣	5	5	0	0	1.000000
贴,春晚	7	7	0	0	1.000000
贴,门神	5	4	0	1	0.800000
贴,中华民族	6	6	0	0	1.000000
贴,户户	5	5	0	0	1.000000
贴,家户	5	5	0	0	1.000000
贴,家家户户	5	5	0	0	1.000000
贴,团圆	8	7	1	0	0.875000
贴,有趣	5	4	1	0	0.800000
贴,穿	5	5	0	0	1.000000
贴,家家	6	6	0	0	1.000000
贴,年夜饭	5	5	0	0	1.000000
贴,对联	12	10	1	1	0.833333
贴,夜饭	5	5	0	0	1.000000
贴,拜年	10	8	1	1	0.800000
贴,感受	8	8	0	0	1.000000
贴,中华	6	6	0	0	1.000000
贴,热热闹闹	5	4	1	0	0.800000
贴,热热	5	4	1	0	0.800000
贴,文化	8	7	1	0	0.875000
贴,烟花爆竹	6	1	5	0	0.833333
贴,喜欢	6	5	0	1	0.833333
贴,年夜	5	5	0	0	1.000000
贴,爆竹	6	1	5	0	0.833333
贴,一起	10	9	1	0	0.900000
贴,味儿	10	8	2	0	0.800000
贴,回家	8	8	0	0	1.000000
贴,吃	9	8	0	1	0.888889
上路,汽车	6	0	5	1	0.833333
祥和,环保	6	0	6	0	1.000000
晚婚晚育,取消	9	0	8	1	0.888889
排放,尾气	7	6	1	0	0.857143
城区,环保	5	0	5	0	1.000000
城区,烟花爆竹	5	1	4	0	0.800000
城区,燃放烟花	5	1	4	0	0.800000
城区,放烟	5	1	4	0	0.800000
城区,今年	5	1	4	0	0.800000
城区,空气	5	0	5	0	1.000000
中华,隆重	5	4	0	1	0.800000
中华,中华民族	17	14	2	1	0.823529
中华,贴	6	6	0	0	1.000000
中华,传统节日	7	6	0	1	0.857143
中华,文化	5	4	0	1	0.800000
中华,民族	17	14	2	1	0.823529
中华,节日	8	7	0	1	0.875000
减少,断崖	13	0	12	1	0.923077
减少,产生	5	0	5	0	1.000000
减少,绿色	5	1	4	0	0.800000
