ID	TARGET	TEXT	STANCE	WORDS	LENGTH
2	IphoneSE	当时看到中国预定340万挺不相信，毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR	当时 看到 中国 预定 340 万挺 不 相信 毕竟 6 s 6 s Plus 全球 首 周末 1300 万 今天 出乎 所有人 意料 iPhone SE 真的 被 黄牛 低估	29
3	IphoneSE	Phone SE，价格感人，但是看这外形，又可以拿着5s出去装逼了。	AGAINST	Phone SE 价格 感人 但是 看 这 外形 又 可以 拿 着 5 s 出去 装逼	16
5	IphoneSE	iPhone SE良心价的原因之一：内存只1GB？：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST	iPhone SE 良心 价 原因 之一 内存 只 1 GB 如果 真的 这样 不 知道 会 浇灭 多少 人马 上 掏钱 购买 热情	23
6	IphoneSE	睡了。失望至极，iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST	睡 失望 至极 iphone se 5 外观 几乎 没有 区别 只是 把 6 s 配置 装 到 原本 iphone5s 里 取消 3 D Touch	24
7	IphoneSE	日前是国行iPhone SE正式发售第一天，很多预定用户拿到了iPhone SE新机。不过，不少网友吐槽，自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST	日前 是 国行 iPhone SE 正式 发售 第一天 很多 预定 用户 拿到 iPhone SE 新机 不过 不少 网友 吐 槽 自己 拿到 新机 居然 是 黄屏 比 旁边 人 iPhone 5 S 还要 黄 从 网友 晒出 图片 来看 iPhone SE 屏幕 部分 区域 明显 发黄 尤其 是 屏幕 四边	50
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR	已经 等不及 想要 去 看看 这 款 手机	8
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST	黄 屏门 似乎 一直 没有 回应	6
11	IphoneSE	听说黄屏，还好我没入坑。你们就当护眼模式吧 	AGAINST	听说 黄屏 还好 我 没入 坑 你们 就 当 护眼 模式	11
12	IphoneSE	很想尝试下iPhonese……	FAVOR	很 想 尝试 下 iPhonese	5
14	IphoneSE	最近几个月一直认为2016年二季度将是智能手机产业的一个中期的景气拐点。苹果应该是看到情形不妙，推出 iPhone SE清理 6s库存部件，顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE	最 近几个月 一直 认为 2016 年 二季度 将 是 智能手机 产业 一个 中期 景气 拐点 苹果 应该 是 看到 情形 不妙 推出 iPhone SE 清理 6 s 库存 部件 顺便 向下 打压 中档 安卓 机 市场 有些 今年 出货量 目标 定 太 高 公司 反应速度 库存 管理 能力差 会 害死 一大批 自己 上游 供应商	54
