WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
底层	0	18	0	18	1.0
生存	0	16	0	16	1.0
单手	16	0	0	16	1.0
环保局	0	11	0	11	1.0
单手操作	10	0	0	10	1.0
从我做起	0	10	0	10	1.0
超女	0	0	9	9	1.0
美少女	0	0	9	9	1.0
时间表	0	0	9	9	1.0
无敌	0	0	9	9	1.0
红绿灯	8	0	0	8	1.0
红绿	8	0	0	8	1.0
正好	8	0	0	8	1.0
备	8	0	0	8	1.0
危害	0	8	0	8	1.0
节约	0	7	0	7	1.0
腐败	0	7	0	7	1.0
生就	0	7	0	7	1.0
婚假	0	7	0	7	1.0
大宝	7	0	0	7	1.0
口号	0	7	0	7	1.0
九件	7	0	0	7	1.0
中秋	7	0	0	7	1.0
解决问题	0	6	0	6	1.0
秋节	6	0	0	6	1.0
浓度	0	6	0	6	1.0
延迟	0	6	0	6	1.0
布	6	0	0	6	1.0
巫术	6	0	0	6	1.0
嫌弃	6	0	0	6	1.0
吉	6	0	0	6	1.0
刹车	6	0	0	6	1.0
公	6	0	0	6	1.0
儿时	6	0	0	6	1.0
人力	0	6	0	6	1.0
买车	0	6	0	6	1.0
中秋节	6	0	0	6	1.0
锅铲	0	0	5	5	1.0
逊尼派	0	5	0	5	1.0
逊尼	0	5	0	5	1.0
车尾	5	0	0	5	1.0
老伴	0	0	5	5	1.0
罗斯国	5	0	0	5	1.0
纳	5	0	0	5	1.0
端午节	5	0	0	5	1.0
端午	5	0	0	5	1.0
盼望	5	0	0	5	1.0
淡	5	0	0	5	1.0
汽车尾气	5	0	0	5	1.0
月饼	5	0	0	5	1.0
抢劫	0	5	0	5	1.0
情景	5	0	0	5	1.0
差点	5	0	0	5	1.0
屁用	0	5	0	5	1.0
安全事故	0	5	0	5	1.0
士兵	5	0	0	5	1.0
团圆饭	5	0	0	5	1.0
原始	0	5	0	5	1.0
俄罗斯国防部	5	0	0	5	1.0
乱窜	5	0	0	5	1.0
买得起	0	5	0	5	1.0
买得	0	5	0	5	1.0
下滑	0	5	0	5	1.0
青	4	0	0	4	1.0
霸道	0	4	0	4	1.0
长龙	4	0	0	4	1.0
锻炼	4	0	0	4	1.0
这部	4	0	0	4	1.0
超人	0	4	0	4	1.0
赡养	0	4	0	4	1.0
赖以生存	0	4	0	4	1.0
赖以	0	4	0	4	1.0
许子	0	0	4	4	1.0
觉	0	4	0	4	1.0
萝卜	4	0	0	4	1.0
莫斯科	4	0	0	4	1.0
胜	4	0	0	4	1.0
聊聊	0	0	4	4	1.0
老太	0	4	0	4	1.0
罗拉	0	0	4	4	1.0
组	0	4	0	4	1.0
纳税人	0	4	0	4	1.0
纯属	4	0	0	4	1.0
粮食	0	4	0	4	1.0
科夫	4	0	0	4	1.0
祭灶	4	0	0	4	1.0
祝贺	4	0	0	4	1.0
瞎	4	0	0	4	1.0
看上去	4	0	0	4	1.0
看上	4	0	0	4	1.0
白云	0	4	0	4	1.0
疏导	0	4	0	4	1.0
疏	0	4	0	4	1.0
申	4	0	0	4	1.0
济南市	0	4	0	4	1.0
污染物	0	4	0	4	1.0
民百	0	4	0	4	1.0
条例	0	4	0	4	1.0
杀人	0	4	0	4	1.0
有钱人	0	4	0	4	1.0
有害	0	4	0	4	1.0
最底层	0	4	0	4	1.0
普特	0	4	0	4	1.0
无人	4	0	0	4	1.0
放下	0	4	0	4	1.0
摩托罗拉	0	0	4	4	1.0
扰民	0	4	0	4	1.0
托罗	0	0	4	4	1.0
心想	4	0	0	4	1.0
循环	0	4	0	4	1.0
彼此	4	0	0	4	1.0
强调	4	0	0	4	1.0
开除	4	0	0	4	1.0
幕后	4	0	0	4	1.0
帽	4	0	0	4	1.0
屌丝	0	4	0	4	1.0
封杀	0	4	0	4	1.0
对内	0	4	0	4	1.0
实现	4	0	0	4	1.0
夫	0	4	0	4	1.0
太贵	0	4	0	4	1.0
太太	0	4	0	4	1.0
培训	4	0	0	4	1.0
城管	0	4	0	4	1.0
回老家	4	0	0	4	1.0
发扬	4	0	0	4	1.0
原始社会	0	4	0	4	1.0
压	0	4	0	4	1.0
南市	0	4	0	4	1.0
千多	0	4	0	4	1.0
十足	4	0	0	4	1.0
势必	0	4	0	4	1.0
到时候	0	4	0	4	1.0
充分	0	4	0	4	1.0
傻子	0	4	0	4	1.0
做饭	0	4	0	4	1.0
做点事	0	4	0	4	1.0
侨报	4	0	0	4	1.0
低收入	0	4	0	4	1.0
代管	0	4	0	4	1.0
五千	4	0	0	4	1.0
争论	0	0	4	4	1.0
买卖	0	4	0	4	1.0
乖	4	0	0	4	1.0
主力	0	4	0	4	1.0
中国式	0	4	0	4	1.0
专用	0	0	4	4	1.0
上涨	0	4	0	4	1.0
一面	4	0	0	4	1.0
一家亲	4	0	0	4	1.0
r46hp1p	0	0	4	4	1.0
鲜血	0	3	0	3	1.0
高价	0	3	0	3	1.0
香味	3	0	0	3	1.0
革命	0	3	0	3	1.0
雪上加霜	0	3	0	3	1.0
雪上	0	3	0	3	1.0
雨水	0	0	3	3	1.0
降	0	3	0	3	1.0
闻到	3	0	0	3	1.0
邪教	3	0	0	3	1.0
那里	0	3	0	3	1.0
遇上	0	3	0	3	1.0
通人	0	3	0	3	1.0
送给	3	0	0	3	1.0
迫不及待	3	0	0	3	1.0
迪拜	0	3	0	3	1.0
这部分	3	0	0	3	1.0
近来	0	0	3	3	1.0
运输	0	3	0	3	1.0
边境地区	0	3	0	3	1.0
辞旧迎新	3	0	0	3	1.0
输出	0	0	3	3	1.0
辆车	0	0	3	3	1.0
走过	3	0	0	3	1.0
走向	0	3	0	3	1.0
资金	0	0	3	3	1.0
谈判	0	3	0	3	1.0
调皮	3	0	0	3	1.0
说到底	0	3	0	3	1.0
蛋糕	0	0	3	3	1.0
蓝天白云	0	3	0	3	1.0
蓝	0	3	0	3	1.0
蒙蒙	0	3	0	3	1.0
著名	3	0	0	3	1.0
草泥马	0	3	0	3	1.0
茶	3	0	0	3	1.0
脚踏	3	0	0	3	1.0
联想	0	0	3	3	1.0
老祖宗	3	0	0	3	1.0
老祖	3	0	0	3	1.0
老太太	0	3	0	3	1.0
耀	3	0	0	3	1.0
美食	3	0	0	3	1.0
美德	3	0	0	3	1.0
罚钱	0	3	0	3	1.0
绝大	3	0	0	3	1.0
结扎	0	3	0	3	1.0
纸屑	0	3	0	3	1.0
粽子	3	0	0	3	1.0
第二次	0	0	3	3	1.0
穿行	3	0	0	3	1.0
科	3	0	0	3	1.0
种种	0	0	3	3	1.0
私人	0	3	0	3	1.0
神马	3	0	0	3	1.0
神奇	0	3	0	3	1.0
社会底层	0	3	0	3	1.0
社会关系	0	3	0	3	1.0
破坏	3	0	0	3	1.0
直闯	3	0	0	3	1.0
直至	3	0	0	3	1.0
直升机	0	3	0	3	1.0
直升	0	3	0	3	1.0
病人	0	3	0	3	1.0
疙瘩	3	0	0	3	1.0
生死	0	3	0	3	1.0
玩意儿	0	3	0	3	1.0
猛	3	0	0	3	1.0
独自	3	0	0	3	1.0
物价上涨	0	3	0	3	1.0
爱情	3	0	0	3	1.0
爆发	0	3	0	3	1.0
焦点	0	0	3	3	1.0
灰蒙蒙	0	3	0	3	1.0
火烧	3	0	0	3	1.0
满大街	3	0	0	3	1.0
消防安全	0	3	0	3	1.0
海外	3	0	0	3	1.0
洗衣服	0	3	0	3	1.0
洗衣	0	3	0	3	1.0
汤圆	3	0	0	3	1.0
氧化	0	3	0	3	1.0
气象	0	3	0	3	1.0
毫无疑问	0	3	0	3	1.0
毒瘤	0	3	0	3	1.0
毁灭	3	0	0	3	1.0
步伐	3	0	0	3	1.0
横冲直闯	3	0	0	3	1.0
榜样	0	3	0	3	1.0
楼房	0	3	0	3	1.0
格局	3	0	0	3	1.0
本土	0	0	3	3	1.0
朗德	3	0	0	3	1.0
有限	0	3	0	3	1.0
有权	0	3	0	3	1.0
有害物质	0	3	0	3	1.0
有害物	0	3	0	3	1.0
有名	0	3	0	3	1.0
普通人	0	3	0	3	1.0
时光	3	0	0	3	1.0
旧迎新	3	0	0	3	1.0
无耻	0	3	0	3	1.0
新文化	0	0	3	3	1.0
新文	0	0	3	3	1.0
敲锣	0	0	3	3	1.0
收费	0	3	0	3	1.0
收获	3	0	0	3	1.0
支出	0	3	0	3	1.0
撤	0	3	0	3	1.0
搂	3	0	0	3	1.0
拯救	0	3	0	3	1.0
抗议	0	3	0	3	1.0
扩大	3	0	0	3	1.0
手足	3	0	0	3	1.0
成效	0	3	0	3	1.0
戈尔	3	0	0	3	1.0
想干什么	0	3	0	3	1.0
惊	0	3	0	3	1.0
情结	0	3	0	3	1.0
恩	3	0	0	3	1.0
思路	0	3	0	3	1.0
快捷	0	3	0	3	1.0
待产	3	0	0	3	1.0
征求	0	0	3	3	1.0
当权	0	3	0	3	1.0
开火	3	0	0	3	1.0
建宇	3	0	0	3	1.0
度蜜月	0	3	0	3	1.0
废气	3	0	0	3	1.0
床	3	0	0	3	1.0
广告	0	3	0	3	1.0
平民百姓	0	3	0	3	1.0
干的事	3	0	0	3	1.0
干涉	3	0	0	3	1.0
帝都	0	3	0	3	1.0
局长	0	3	0	3	1.0
尚	0	0	3	3	1.0
小宝贝	3	0	0	3	1.0
导弹	0	3	0	3	1.0
家门口	0	3	0	3	1.0
家门	0	3	0	3	1.0
家族	3	0	0	3	1.0
害苦	0	3	0	3	1.0
害	0	3	0	3	1.0
客人	0	3	0	3	1.0
宁	0	3	0	3	1.0
孕期	3	0	0	3	1.0
嫁	0	3	0	3	1.0
姨妈	3	0	0	3	1.0
委员	0	3	0	3	1.0
妥协	0	3	0	3	1.0
妇科	3	0	0	3	1.0
如果说	0	3	0	3	1.0
如意	3	0	0	3	1.0
好几	3	0	0	3	1.0
大气污染	0	3	0	3	1.0
大批	0	0	3	3	1.0
外地人	0	3	0	3	1.0
夏天	3	0	0	3	1.0
备货	0	0	3	3	1.0
境地	0	3	0	3	1.0
堂	3	0	0	3	1.0
基层	0	3	0	3	1.0
坐等	3	0	0	3	1.0
地狱	0	3	0	3	1.0
固然	0	3	0	3	1.0
回国	3	0	0	3	1.0
四季	0	0	3	3	1.0
嗨	3	0	0	3	1.0
喷子	3	0	0	3	1.0
售	0	3	0	3	1.0
唠	3	0	0	3	1.0
哭声	3	0	0	3	1.0
吓死	3	0	0	3	1.0
后代	0	3	0	3	1.0
各自	0	3	0	3	1.0
发声	0	3	0	3	1.0
压迫	0	3	0	3	1.0
卫星	3	0	0	3	1.0
升机	0	3	0	3	1.0
北京市	0	0	3	3	1.0
勇气	0	3	0	3	1.0
加以	0	0	3	3	1.0
前面	3	0	0	3	1.0
初衷	3	0	0	3	1.0
