ID	TARGET	TEXT	STANCE	WORDS	LENGTH
1	IphoneSE	根据市场分析机构Localytics周一公布的数据，iPhone SE正式上市的这个周末，销量成绩并不算太好。	NONE	根据 市场 分析 机构 localytics 周一 公布 数据 iphone se 正式 上市 这个 周末 销量 成绩 并 不算 太 好	20
2	IphoneSE	毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR	毕竟 number s number s plus 全球 首 周末 number 万 今天 出乎 所有 所有人 有人 意料 iphone se 真的 被 黄牛 低估	23
3	IphoneSE	但是看这外形，又可以拿着5s出去装逼了。	AGAINST	但是 看 这 外形 又 可以 拿 着 number s 出去 装 逼	13
4	IphoneSE	iPhone SE官网已经要2-3周发货了，也真是一件神奇的事情……	AGAINST	iphone se 官 网 已经 要 number number 周 发货 也 真是 一件 神奇 事情	15
5	IphoneSE	：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST	如果 真的 这样 不 知道 会 浇灭 多少 人马 上 掏钱 购买 热情	13
6	IphoneSE	iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST	iphone se number 外观 几乎 没有 区别 只是 把 number s 配置 装到 原本 iphone5s 里 取消 number d touch	20
7	IphoneSE	自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST	自己 拿到 新机 居然 是 黄 屏 比 旁边 人 iphone number s 还要 黄 从 网友 晒 出 图片 来看 iphone se 屏幕 部分 区域 明显 发黄 尤其 是 屏幕 四边	32
8	IphoneSE	iPhone SE的外观太让人失望了，也许价格会成吸引点吧	AGAINST	iphone se 外观 太 让 人 失望 也许 价格 会 成 吸引 点	13
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR	已经 等不及 不及 想要 去 看看 这 款 手机	9
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST	黄 屏门 似乎 一直 没有 回应	6
11	IphoneSE	还好我没入坑。你们就当护眼模式吧 	AGAINST	还好 我 没入 坑 你们 就 当 护眼 模式	9
12	IphoneSE	很想尝试下iPhonese……	FAVOR	很 想 尝试 下 iphonese	5
13	IphoneSE	6S太大，5S想买个用，但是发现这个了以后就一直等着。	FAVOR	number s 太大 number s 想买 个 用 但是 发现 这个 以后 就 一直 等 着	16
14	IphoneSE	顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE	顺便 向下 打压 中档 安 卓 机 市场 有些 今年 出货 出货量 目标 定 太 高 公司 反应 反应速度 速度 库存 管理 能力 能力差 会 害死 一大 一大批 大批 自己 上游 供应 供应商	33
15	IphoneSE	iPhone se 这价格诚意十足啊，准备入手	FAVOR	iphone se 这 价格 诚意 十足 啊 准备 入手	9
16	IphoneSE	好轻，	FAVOR	好 轻	2
17	IphoneSE	值得拥有！	FAVOR	值得 拥有	2
18	IphoneSE	不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR	不是 买不起 只是 喜欢 小 屏 而已 so 苹果 出 iphonese 怎么 就要 被 淘汰 中国 喜欢 小 屏 人 多着 多着呢	22
19	IphoneSE	周围是有点黄屏，不过不碍事哈哈哈	FAVOR	周围 是 有点 黄 屏 不过 不 碍事 哈哈 哈哈哈 哈哈	11
20	IphoneSE	小屏的优势还是很明显的，希望手机厂商都能理性回归吧。	FAVOR	小 屏 优势 还是 很 明显 希望 手机 厂商 都 能 理性 回归	13
21	IphoneSE	何其方便！苹果的屏幕已经够小了，还弄个小圆点，挡屏幕操作，又影响阅读感觉（逼死强迫症）	AGAINST	何其 方便 苹果 屏幕 已经 够 小 还 弄 个 小圆点 圆点 挡 屏幕 操作 又 影响 阅读 感觉 逼死 强迫 强迫症	22
22	IphoneSE	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	FAVOR	系统 没得 没得说 苹果 做 就是 系统 开 很多 后台 依然 流畅 再 好 安 卓 时间 长 照样 卡 成 屎	22
23	IphoneSE	刚开封一天的全新iphoneSE 4300买的 64g 3500到4000卖出 想要的快来找我	NONE	刚 开封 一天 全新 iphonese number 买 number g number 到 number 卖出 想要 快来 找 我	17
24	IphoneSE	中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。	AGAINST	中国 中国网民 网民 开始 对 这款 number 英寸 设备 进行 集体 吐 槽 大量 微 博 评论 直指 iphone se 外观 外观设计 设计 类似 之前 iphone number s 毫无 新意	30
25	IphoneSE	还有什么理由不用它？因为没有情怀么？	FAVOR	还有 什么 理由 不用 它 因为 没有 情怀 么	9
26	IphoneSE	双面玻璃反光时尚，但易碎，如果库克能在4的基础下进行改良，相信销售也不会下滑吧。关于SE我相信乔布斯不会出一样的产品	AGAINST	双面 玻璃 反光 时尚 但 易碎 如果 库克 能 在 number 基础 下 进行 改良 相信 销售 也 不会 下滑 关于 se 我 相信 乔布 乔布斯 布斯 不会 出 一样 产品	31
27	IphoneSE	黑粉们哪个牌子派来的去哪里带着去，有意思吗？不喜欢就不要买，到处乱喷 这就是素质。	FAVOR	黑粉 们 哪个 牌子 派来 去 哪里 带 着 去 有意 有意思 意思 吗 不 喜欢 就 不要 买 到处 乱 喷 这 就是 素质	25
