ID	TARGET	TEXT	STANCE	WORDS	LENGTH
2	IphoneSE	毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR	毕竟 number s number s plus 全球 首 周末 number 万 今天 出乎 所有 所有人 有人 意料 iphone se 真的 被 黄牛 低估	23
3	IphoneSE	但是看这外形，又可以拿着5s出去装逼了。	AGAINST	但是 看 这 外形 又 可以 拿 着 number s 出去 装 逼	13
5	IphoneSE	：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST	如果 真的 这样 不 知道 会 浇灭 多少 人马 上 掏钱 购买 热情	13
6	IphoneSE	iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST	iphone se number 外观 几乎 没有 区别 只是 把 number s 配置 装到 原本 iphone5s 里 取消 number d touch	20
7	IphoneSE	自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST	自己 拿到 新机 居然 是 黄 屏 比 旁边 人 iphone number s 还要 黄 从 网友 晒 出 图片 来看 iphone se 屏幕 部分 区域 明显 发黄 尤其 是 屏幕 四边	32
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR	已经 等不及 不及 想要 去 看看 这 款 手机	9
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST	黄 屏门 似乎 一直 没有 回应	6
11	IphoneSE	还好我没入坑。你们就当护眼模式吧 	AGAINST	还好 我 没入 坑 你们 就 当 护眼 模式	9
12	IphoneSE	很想尝试下iPhonese……	FAVOR	很 想 尝试 下 iphonese	5
14	IphoneSE	顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE	顺便 向下 打压 中档 安 卓 机 市场 有些 今年 出货 出货量 目标 定 太 高 公司 反应 反应速度 速度 库存 管理 能力 能力差 会 害死 一大 一大批 大批 自己 上游 供应 供应商	33
15	IphoneSE	iPhone se 这价格诚意十足啊，准备入手	FAVOR	iphone se 这 价格 诚意 十足 啊 准备 入手	9
16	IphoneSE	好轻，	FAVOR	好 轻	2
17	IphoneSE	值得拥有！	FAVOR	值得 拥有	2
18	IphoneSE	不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR	不是 买不起 只是 喜欢 小 屏 而已 so 苹果 出 iphonese 怎么 就要 被 淘汰 中国 喜欢 小 屏 人 多着 多着呢	22
19	IphoneSE	周围是有点黄屏，不过不碍事哈哈哈	FAVOR	周围 是 有点 黄 屏 不过 不 碍事 哈哈 哈哈哈 哈哈	11
20	IphoneSE	小屏的优势还是很明显的，希望手机厂商都能理性回归吧。	FAVOR	小 屏 优势 还是 很 明显 希望 手机 厂商 都 能 理性 回归	13
21	IphoneSE	何其方便！苹果的屏幕已经够小了，还弄个小圆点，挡屏幕操作，又影响阅读感觉（逼死强迫症）	AGAINST	何其 方便 苹果 屏幕 已经 够 小 还 弄 个 小圆点 圆点 挡 屏幕 操作 又 影响 阅读 感觉 逼死 强迫 强迫症	22
23	IphoneSE	刚开封一天的全新iphoneSE 4300买的 64g 3500到4000卖出 想要的快来找我	NONE	刚 开封 一天 全新 iphonese number 买 number g number 到 number 卖出 想要 快来 找 我	17
24	IphoneSE	中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。	AGAINST	中国 中国网民 网民 开始 对 这款 number 英寸 设备 进行 集体 吐 槽 大量 微 博 评论 直指 iphone se 外观 外观设计 设计 类似 之前 iphone number s 毫无 新意	30
28	IphoneSE	我一直都是官网买的，重来没出过问题机！	FAVOR	我 一直 都 是 官 网 买 重来 没 出过 问题 机	12
30	IphoneSE	我相信随着iphone5se的发布 iphone5s的销量也会迎来第二春 iphone作为手机行业的风向标 不知道会不会引起其他手机厂商的跟风效仿 一大波小屏手机正在路上。。。	FAVOR	我 相信 随着 iphone5se 发布 iphone5s 销量 也 会 迎来 第二 春 iphone 作为 手机 行业 风向 风向标 不 知道 会 不会 引起 其他 手机 厂商 跟风 效仿 一大 波 小 屏 手机 正在 路上	35
31	IphoneSE	更加的让我们觉得这价格平民化，吸引更多人买买买	FAVOR	更加 让 我们 觉得 这 价格 平民 平民化 吸引 更 多 人 买买 买	14
32	IphoneSE	是我不选苹果的唯一原因，差评！	AGAINST	是 我 不 选 苹果 唯一 原因 差 评	9
33	IphoneSE	硬件升级了 适合小屏用户 精巧 流畅 价格也比较亲民了 要是这个机做成无边框的时候 那就更好了 绝对比6好卖 可惜了 电池续航可以 拍照给力 屏幕效果这些都跟上现在的机子了 就是设计上没有变化 欠缺	AGAINST	硬件 升级 适合 小 屏 用户 精巧 流畅 价格 也 比较 亲 民 要是 这个 机 做成 无 边框 时候 那 就 更好 绝对 比 number 好 卖 可惜 电池 续航 可以 拍照 给 力 屏幕 效果 这些 都 跟上 现在 机子 就是 设计 上 没有 变化 欠缺	48
