WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
底层	0	18	0	18	1.0
生存	0	16	0	16	1.0
单手	16	0	0	16	1.0
环保局	0	11	0	11	1.0
单手操作	10	0	0	10	1.0
从我做起	0	10	0	10	1.0
超女	0	0	9	9	1.0
美少女	0	0	9	9	1.0
时间表	0	0	9	9	1.0
无敌	0	0	9	9	1.0
红绿灯	8	0	0	8	1.0
红绿	8	0	0	8	1.0
正好	8	0	0	8	1.0
备	8	0	0	8	1.0
危害	0	8	0	8	1.0
节约	0	7	0	7	1.0
腐败	0	7	0	7	1.0
生就	0	7	0	7	1.0
婚假	0	7	0	7	1.0
大宝	7	0	0	7	1.0
口号	0	7	0	7	1.0
九件	7	0	0	7	1.0
中秋	7	0	0	7	1.0
解决问题	0	6	0	6	1.0
秋节	6	0	0	6	1.0
浓度	0	6	0	6	1.0
延迟	0	6	0	6	1.0
布	6	0	0	6	1.0
巫术	6	0	0	6	1.0
嫌弃	6	0	0	6	1.0
吉	6	0	0	6	1.0
刹车	6	0	0	6	1.0
公	6	0	0	6	1.0
儿时	6	0	0	6	1.0
人力	0	6	0	6	1.0
买车	0	6	0	6	1.0
中秋节	6	0	0	6	1.0
锅铲	0	0	5	5	1.0
逊尼派	0	5	0	5	1.0
逊尼	0	5	0	5	1.0
车尾	5	0	0	5	1.0
老伴	0	0	5	5	1.0
罗斯国	5	0	0	5	1.0
纳	5	0	0	5	1.0
端午节	5	0	0	5	1.0
端午	5	0	0	5	1.0
盼望	5	0	0	5	1.0
淡	5	0	0	5	1.0
汽车尾气	5	0	0	5	1.0
月饼	5	0	0	5	1.0
抢劫	0	5	0	5	1.0
情景	5	0	0	5	1.0
差点	5	0	0	5	1.0
屁用	0	5	0	5	1.0
安全事故	0	5	0	5	1.0
士兵	5	0	0	5	1.0
团圆饭	5	0	0	5	1.0
原始	0	5	0	5	1.0
俄罗斯国防部	5	0	0	5	1.0
乱窜	5	0	0	5	1.0
买得起	0	5	0	5	1.0
买得	0	5	0	5	1.0
下滑	0	5	0	5	1.0
蓝天	1	20	0	21	0.952380952381
做起	1	19	0	20	0.95
碳	1	13	0	14	0.928571428571
年货	13	1	0	14	0.928571428571
断崖	0	12	1	13	0.923076923077
亲戚	12	1	0	13	0.923076923077
穷人	0	11	1	12	0.916666666667
少女	1	0	11	12	0.916666666667
劳动力	0	11	1	12	0.916666666667
普通	1	10	0	11	0.909090909091
自觉	1	9	0	10	0.9
粗暴	0	9	1	10	0.9
疯狂	1	9	0	10	0.9
同一	0	1	9	10	0.9
再也	0	9	1	10	0.9
餐饮业	3	24	0	27	0.888888888889
对准	3	24	0	27	0.888888888889
劳动	1	16	1	18	0.888888888889
远离	0	8	1	9	0.888888888889
没收	0	8	1	9	0.888888888889
扎堆	1	0	8	9	0.888888888889
嫌	1	8	0	9	0.888888888889
三年	8	0	1	9	0.888888888889
通工	0	15	2	17	0.882352941176
交通工具	0	15	2	17	0.882352941176
首映	7	0	1	8	0.875
隐患	0	7	1	8	0.875
退	1	7	0	8	0.875
违反	1	7	0	8	0.875
民意	0	7	1	8	0.875
新款	1	0	7	8	0.875
擦	7	1	0	8	0.875
承担	1	7	0	8	0.875
恐	0	7	1	8	0.875
尴尬	0	7	1	8	0.875
宝贝	7	1	0	8	0.875
奇葩	0	7	1	8	0.875
唱	7	1	0	8	0.875
典型	1	7	0	8	0.875
退休	1	13	1	15	0.866666666667
横冲	13	1	1	15	0.866666666667
新衣	13	1	1	15	0.866666666667
弟弟	13	2	0	15	0.866666666667
哈哈哈	13	2	0	15	0.866666666667
倡议	2	30	3	35	0.857142857143
孕	18	1	2	21	0.857142857143
承诺	2	12	0	14	0.857142857143
坑	2	12	0	14	0.857142857143
青年	0	6	1	7	0.857142857143
锵锵	1	0	6	7	0.857142857143
迎接	6	1	0	7	0.857142857143
跟不上	0	6	1	7	0.857142857143
证	0	6	1	7	0.857142857143
稳定	6	1	0	7	0.857142857143
爸爸妈妈	6	0	1	7	0.857142857143
爱护	1	6	0	7	0.857142857143
添个	6	0	1	7	0.857142857143
涨	1	6	0	7	0.857142857143
智商	6	1	0	7	0.857142857143
操	1	6	0	7	0.857142857143
摔	6	1	0	7	0.857142857143
打着	1	6	0	7	0.857142857143
孤单	6	0	1	7	0.857142857143
合适	6	0	1	7	0.857142857143
可爱	6	1	0	7	0.857142857143
出席	6	0	1	7	0.857142857143
低于	0	1	6	7	0.857142857143
传说	6	0	1	7	0.857142857143
三人行	1	0	6	7	0.857142857143
ps	6	1	0	7	0.857142857143
春晚	17	2	1	20	0.85
亲人	22	3	1	26	0.846153846154
晚婚	2	16	1	19	0.842105263158
餐饮	4	25	1	30	0.833333333333
小时候	20	3	1	24	0.833333333333
逆行	15	3	0	18	0.833333333333
妹妹	15	3	0	18	0.833333333333
龙岗	10	2	0	12	0.833333333333
绿灯	10	0	2	12	0.833333333333
直撞	10	1	1	12	0.833333333333
烧纸	1	10	1	12	0.833333333333
横冲直撞	10	1	1	12	0.833333333333
齐	5	1	0	6	0.833333333333
颜	5	0	1	6	0.833333333333
隆重	5	0	1	6	0.833333333333
陪伴	5	1	0	6	0.833333333333
防部	5	0	1	6	0.833333333333
门神	5	0	1	6	0.833333333333
长假	0	1	5	6	0.833333333333
走亲戚	5	1	0	6	0.833333333333
貌似	5	0	1	6	0.833333333333
谋生	0	5	1	6	0.833333333333
该机	1	0	5	6	0.833333333333
警力	5	0	1	6	0.833333333333
规矩	5	0	1	6	0.833333333333
苏联	0	5	1	6	0.833333333333
舞狮	5	0	1	6	0.833333333333
聚集	5	0	1	6	0.833333333333
物价	1	5	0	6	0.833333333333
炸弹	1	5	0	6	0.833333333333
温和	5	1	0	6	0.833333333333
比比皆是	5	1	0	6	0.833333333333
比比	5	1	0	6	0.833333333333
无数	0	5	1	6	0.833333333333
握	5	0	1	6	0.833333333333
成长	5	0	1	6	0.833333333333
感人	5	1	0	6	0.833333333333
恶心	1	5	0	6	0.833333333333
录制	5	0	1	6	0.833333333333
局势	5	1	0	6	0.833333333333
小小	5	0	1	6	0.833333333333
小妹	1	0	5	6	0.833333333333
对此	0	1	5	6	0.833333333333
官员	1	5	0	6	0.833333333333
大姚	5	0	1	6	0.833333333333
大人	0	5	1	6	0.833333333333
坪	5	1	0	6	0.833333333333
国防部	5	0	1	6	0.833333333333
国防	5	0	1	6	0.833333333333
听见	5	1	0	6	0.833333333333
发财	0	5	1	6	0.833333333333
厂家	0	5	1	6	0.833333333333
印象	5	0	1	6	0.833333333333
千元	1	5	0	6	0.833333333333
加大	0	5	1	6	0.833333333333
创新	0	5	1	6	0.833333333333
养老	1	5	0	6	0.833333333333
公益	1	5	0	6	0.833333333333
借	1	5	0	6	0.833333333333
介绍	5	0	1	6	0.833333333333
争议	0	1	5	6	0.833333333333
义务	0	5	1	6	0.833333333333
严峻	1	5	0	6	0.833333333333
两周	5	0	1	6	0.833333333333
一顿	0	5	1	6	0.833333333333
一阵	5	1	0	6	0.833333333333
x	1	0	5	6	0.833333333333
pro	1	0	5	6	0.833333333333
取消	1	19	3	23	0.826086956522
西方	14	2	1	17	0.823529411765
发出	2	14	1	17	0.823529411765
中华民族	14	2	1	17	0.823529411765
宝	18	0	4	22	0.818181818182
申请	0	2	9	11	0.818181818182
毫无	2	9	0	11	0.818181818182
户户	9	0	2	11	0.818181818182
成都	0	9	2	11	0.818181818182
恐怖主义	9	2	0	11	0.818181818182
广大	1	9	1	11	0.818181818182
帅	2	0	9	11	0.818181818182
家户	9	0	2	11	0.818181818182
家家户户	9	0	2	11	0.818181818182
实话	2	9	0	11	0.818181818182
哥哥	9	2	0	11	0.818181818182
失望	0	13	3	16	0.8125
千年	13	1	2	16	0.8125
团圆	17	4	0	21	0.809523809524
今年春节	3	55	10	68	0.808823529412
懒	2	16	2	20	0.8
铁站	12	1	2	15	0.8
越	12	3	0	15	0.8
收	3	12	0	15	0.8
地铁站	12	1	2	15	0.8
土鸡	12	3	0	15	0.8
响	3	12	0	15	0.8
财产	0	8	2	10	0.8
记忆	8	0	2	10	0.8
消防	0	8	2	10	0.8
济南	1	8	1	10	0.8
拍照	8	2	0	10	0.8
怎么办	1	8	1	10	0.8
客	8	0	2	10	0.8
姐姐	8	2	0	10	0.8
大气	2	8	0	10	0.8
呼吸	1	8	1	10	0.8
可笑	2	8	0	10	0.8
几千年	8	1	1	10	0.8
几千	8	1	1	10	0.8
冲	8	1	1	10	0.8
全家	8	1	1	10	0.8
倡导	1	8	1	10	0.8
鱼	4	0	1	5	0.8
首映礼	4	0	1	5	0.8
面积	0	4	1	5	0.8
难题	1	0	4	5	0.8
陶	1	4	0	5	0.8
道德	1	4	0	5	0.8
迟早	1	4	0	5	0.8
车牌	1	4	0	5	0.8
趟	4	1	0	5	0.8
详见	0	4	1	5	0.8
许	0	4	1	5	0.8
记录	1	4	0	5	0.8
解放	4	1	0	5	0.8
规章	0	4	1	5	0.8
观看	1	0	4	5	0.8
行政拘留	4	1	0	5	0.8
蜜月	1	4	0	5	0.8
营销	0	4	1	5	0.8
航母	4	1	0	5	0.8
耳朵	1	0	4	5	0.8
翻新	1	4	0	5	0.8
纵容	4	1	0	5	0.8
纳税	1	4	0	5	0.8
累死	1	4	0	5	0.8
糖	4	0	1	5	0.8
精力	4	0	1	5	0.8
移风易俗	0	4	1	5	0.8
礼花	1	4	0	5	0.8
短时	1	4	0	5	0.8
知识	4	0	1	5	0.8
生生	1	4	0	5	0.8
特种部队	1	4	0	5	0.8
特定	4	0	1	5	0.8
熟悉	4	0	1	5	0.8
烦恼	1	4	0	5	0.8
炮竹	1	4	0	5	0.8
有趣	4	1	0	5	0.8
有理	4	1	0	5	0.8
显得	4	1	0	5	0.8
春节快乐	1	4	0	5	0.8
易俗	0	4	1	5	0.8
新春佳节	0	4	1	5	0.8
新意	0	4	1	5	0.8
救	0	4	1	5	0.8
效率	0	4	1	5	0.8
放火	1	4	0	5	0.8
改成	1	4	0	5	0.8
搞笑	4	1	0	5	0.8
搞不懂	0	4	1	5	0.8
揽客	4	1	0	5	0.8
揍	4	1	0	5	0.8
挑	4	0	1	5	0.8
拟	0	4	1	5	0.8
拜神	4	0	1	5	0.8
抚养	1	4	0	5	0.8
批	4	1	0	5	0.8
打麻将	4	0	1	5	0.8
打压	0	4	1	5	0.8
愤怒	1	4	0	5	0.8
意愿	1	4	0	5	0.8
恐怖袭击	4	0	1	5	0.8
总理	1	0	4	5	0.8
性	1	4	0	5	0.8
彰显	1	4	0	5	0.8
建国	4	1	0	5	0.8
广东	1	4	0	5	0.8
年后	1	4	0	5	0.8
干部	1	4	0	5	0.8
小国	0	4	1	5	0.8
