WORD	FREQ	FAVOR	AGAINST	NONE	SUPPORT
低,碳	14	1	13	0	0.928571
百姓,解决	7	0	7	0	1.000000
烟花爆竹,环保局	6	0	6	0	1.000000
一刀,百姓	5	0	5	0	1.000000
易俗,移风易俗	5	0	4	1	0.800000
夜饭,年夜饭	13	10	1	2	0.769231
中华,文化	5	4	0	1	0.800000
今年,成都	5	0	4	1	0.800000
帅,锅铲	5	0	0	5	1.000000
伙伴,首映	5	4	0	1	0.800000
倡议,燃放烟花	9	0	8	1	0.888889
巴尔,恐怖	5	4	0	1	0.800000
合伙,月份	7	6	0	1	0.857143
小土豆,首映	6	5	0	1	0.833333
恐怖,防部	5	5	0	0	1.000000
成都,环保	6	0	5	1	0.833333
底层,政府	6	0	6	0	1.000000
俄罗斯国防部,罗斯国	5	5	0	0	1.000000
今年,同意	5	0	5	0	1.000000
扎堆,须	6	0	0	6	1.000000
土豆,首映	6	5	0	1	0.833333
烟花爆竹,霾	14	1	11	2	0.785714
穿,贴	5	5	0	0	1.000000
产生,霾	7	0	7	0	1.000000
市,烟花爆竹	5	0	4	1	0.800000
亲戚,走亲戚	6	5	1	0	0.833333
社会,简单	5	0	4	1	0.800000
今年过年,爆竹	5	0	4	1	0.800000
单手,操作	11	11	0	0	1.000000
端午,端午节	5	5	0	0	1.000000
做起,烟花爆竹	5	0	5	0	1.000000
亲人,恐怖	7	7	0	0	1.000000
喜欢,节日	8	8	0	0	1.000000
美少女,青春	9	0	0	9	1.000000
晚婚,晚育	12	2	9	1	0.750000
环保,蓝天	10	0	10	0	1.000000
罗斯国,防部	5	5	0	0	1.000000
罚,送	5	1	4	0	0.800000
就业,解决	5	0	5	0	1.000000
今年春节,霾	13	1	10	2	0.769231
合伙人,首映	6	5	0	1	0.833333
小妹,腿	5	0	0	5	1.000000
动力,鼓励	5	0	5	0	1.000000
今年,低	8	0	8	0	1.000000
合伙人,土豆	11	9	0	2	0.818182
今年,碳	7	0	7	0	1.000000
今年,每	5	0	4	1	0.800000
今年,鞭	5	1	4	0	0.800000
拜年,节日	7	6	0	1	0.857143
中秋,秋节	6	6	0	0	1.000000
根据,申请	9	0	0	9	1.000000
夜饭,春晚	5	4	0	1	0.800000
今年,数据	5	0	1	4	0.800000
家家,户户	11	9	0	2	0.818182
家家户户,户户	11	9	0	2	0.818182
今年春节,低	7	0	7	0	1.000000
环保,贡献	5	1	4	0	0.800000
今年春节,碳	6	0	6	0	1.000000
人员,增加	5	0	5	0	1.000000
买不起,老百姓	7	0	7	0	1.000000
地铁,龙岗	5	4	1	0	0.800000
今年,做起	8	0	8	0	1.000000
国防,恐怖	5	5	0	0	1.000000
本,社会	5	0	5	0	1.000000
环保,环保局	11	0	11	0	1.000000
拒绝,爆竹	5	1	4	0	0.800000
元宵节,节日	7	6	0	1	0.857143
吃,回家	5	4	0	1	0.800000
红绿,红绿灯	8	8	0	0	1.000000
大力,环保	5	0	4	1	0.800000
俄罗斯国防部,恐怖	5	5	0	0	1.000000
同一,根据	8	0	0	8	1.000000
动力,劳动	12	0	11	1	0.916667
懒,政府	7	0	7	0	1.000000
合伙,首映	6	5	0	1	0.833333
烧纸,蓝天	5	0	5	0	1.000000
员工,扎堆	8	0	0	8	1.000000
倡议,发出	9	0	9	0	1.000000
吃,春晚	7	6	0	1	0.857143
梦想,首映	6	5	0	1	0.833333
文化,空气	5	4	0	1	0.800000
亲人,恐怖分子	5	5	0	0	1.000000
特种,特种部队	5	1	4	0	0.800000
今年,发出	5	0	5	0	1.000000
ipad,pro	6	1	0	5	0.833333
放烟,烟花爆竹	19	1	16	2	0.842105
任,无敌	9	0	0	9	1.000000
小时,小时候	24	20	3	1	0.833333
每,爆竹	6	0	6	0	1.000000
扎堆,根据	8	0	0	8	1.000000
感受,春联	6	6	0	0	1.000000
汽车,雾	5	4	1	0	0.800000
文化,贴	10	9	1	0	0.900000
市,环保	6	0	6	0	1.000000
爆竹,环保局	8	0	8	0	1.000000
不容,好不容易	5	0	4	1	0.800000
政府,汽车	14	0	14	0	1.000000
小土豆,曝	5	5	0	0	1.000000
小土豆,添	11	9	0	2	0.818182
动力,劳动力	12	0	11	1	0.916667
假,晚育	5	0	4	1	0.800000
横冲直撞,直撞	12	10	1	1	0.833333
政府,老百姓	8	1	7	0	0.875000
梦想,添个	6	5	0	1	0.833333
烟花爆竹,贴	6	1	5	0	0.833333
文化,节日	7	6	1	0	0.857143
文化,新衣	5	5	0	0	1.000000
少女,美少女	9	0	0	9	1.000000
根据,避免	8	0	0	8	1.000000
产生,空气	5	0	5	0	1.000000
烧纸,移风易俗	5	0	4	1	0.800000
浓度,环保	5	0	5	0	1.000000
春晚,饺子	5	5	0	0	1.000000
断崖,计划	5	0	5	0	1.000000
时间表,避免	8	0	0	8	1.000000
少女,青春	9	0	0	9	1.000000
环保,节约	6	0	6	0	1.000000
增加,成本	5	0	4	1	0.800000
国防,国防部	6	5	0	1	0.833333
出席,合伙	5	4	0	1	0.800000
合伙人,梦想	14	11	0	3	0.785714
行政,行政拘留	5	4	1	0	0.800000
土豆,添个	7	6	0	1	0.857143
主持,主持人	5	4	0	1	0.800000
合伙,小土	11	9	0	2	0.818182
不放,放烟	5	0	4	1	0.800000
环保局,空气	5	0	5	0	1.000000
喜欢,操作	5	4	1	0	0.800000
感受,贴	8	8	0	0	1.000000
小妹,无敌	5	0	0	5	1.000000
避免,须	6	0	0	6	1.000000
懒,政	18	1	15	2	0.833333
文化,春联	6	5	1	0	0.833333
尽量,燃放烟花	6	0	6	0	1.000000
外卖,餐饮业	27	3	24	0	0.888889
任,小妹	5	0	0	5	1.000000
压岁钱,拜年	6	5	0	1	0.833333
巴尔米,恐怖	5	4	0	1	0.800000
恐怖分子,政府	9	8	1	0	0.888889
做起,爆竹	5	0	5	0	1.000000
同一,员工	8	0	0	8	1.000000
小妹,锅铲	5	0	0	5	1.000000
噪音,烟花爆竹	5	0	4	1	0.800000
烟花爆竹,绿色	9	0	8	1	0.888889
扎堆,避免	8	0	0	8	1.000000
政府,服务	7	0	6	1	0.857143
千年,空气	5	5	0	0	1.000000
政府,车	5	0	5	0	1.000000
伙伴,月份	6	6	0	0	1.000000
中华民族,隆重	5	4	0	1	0.800000
一代,计划生育	6	1	5	0	0.833333
添,首映	5	4	0	1	0.800000
减少,计划	5	0	5	0	1.000000
恐怖分子,打击	10	9	0	1	0.900000
社会,送	6	0	6	0	1.000000
锅铲,青春	5	0	0	5	1.000000
亲戚,春联	6	6	0	0	1.000000
一起,贴	10	9	1	0	0.900000
呼吁,环保	15	1	13	1	0.866667
呼吁,爆竹	13	2	10	1	0.769231
分子,巴尔	5	4	0	1	0.800000
汽车,空气	5	4	1	0	0.800000
任,锅铲	5	0	0	5	1.000000
民族,隆重	5	4	0	1	0.800000
减少,计划生育	5	0	5	0	1.000000
女性,就业	6	0	5	1	0.833333
梦想,添	7	6	0	1	0.857143
团聚,节日	5	4	0	1	0.800000
实施,营运	5	5	0	0	1.000000
外卖,送	32	6	26	0	0.812500
文化,春联	6	5	1	0	0.833333
亲戚,贴	7	7	0	0	1.000000
假,晚婚	10	0	9	1	0.900000
减少,雾	11	0	10	1	0.909091
减少,霾	14	0	13	1	0.928571
今年,从我做起	5	0	5	0	1.000000
年夜饭,贴	5	5	0	0	1.000000
小土,梦想	12	10	0	2	0.833333
土豆,小伙	14	11	0	3	0.785714
人口,计划	14	1	12	1	0.857143
中秋,节日	5	5	0	0	1.000000
中华民族,传统节日	7	6	0	1	0.857143
年夜,节日	5	4	0	1	0.800000
今年,今年春节	68	3	55	10	0.808824
减少,式	13	0	12	1	0.923077
愿者,环保	5	1	4	0	0.800000
送,餐饮	27	3	24	0	0.888889
今年,碳	7	0	7	0	1.000000
低,环保	14	1	13	0	0.928571
今年,减少	17	1	13	3	0.764706
噪音,爆竹	7	0	6	1	0.857143
年货,贴	11	10	1	0	0.909091
伙伴,小土豆	13	10	0	3	0.769231
各界,爆竹	5	0	4	1	0.800000
月份,预产期	5	4	0	1	0.800000
吃,文化	7	7	0	0	1.000000
产生,烟花爆竹	5	0	5	0	1.000000
伙伴,大姚	5	5	0	0	1.000000
团圆,贴	8	7	1	0	0.875000
产生,爆竹	7	0	7	0	1.000000
亲人,分子	5	5	0	0	1.000000
有钱,没钱	5	0	5	0	1.000000
土豆,梦想	12	10	0	2	0.833333
吃,贴	10	9	0	1	0.900000
环保,过节	6	0	6	0	1.000000
