WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
单手	13	0	0	13	1.0
生存	0	12	0	12	1.0
底层	0	10	0	10	1.0
劳动力	0	10	0	10	1.0
同一	0	0	8	8	1.0
做起	0	8	0	8	1.0
龙岗	7	0	0	7	1.0
生就	0	7	0	7	1.0
环保局	0	7	0	7	1.0
时间表	0	0	7	7	1.0
单手操作	7	0	0	7	1.0
退	0	6	0	6	1.0
解决问题	0	6	0	6	1.0
节约	0	6	0	6	1.0
稳定	6	0	0	6	1.0
法律依据	0	6	0	6	1.0
民众	0	6	0	6	1.0
正好	6	0	0	6	1.0
普通	0	6	0	6	1.0
少女	0	0	6	6	1.0
婚假	0	6	0	6	1.0
医生	0	6	0	6	1.0
几千年	6	0	0	6	1.0
几千	6	0	0	6	1.0
中秋	6	0	0	6	1.0
远离	0	5	0	5	1.0
超女	0	0	5	5	1.0
美少女	0	0	5	5	1.0
红绿灯	5	0	0	5	1.0
红绿	5	0	0	5	1.0
端午节	5	0	0	5	1.0
端午	5	0	0	5	1.0
秋节	5	0	0	5	1.0
爸爸妈妈	5	0	0	5	1.0
清新	0	5	0	5	1.0
淡	5	0	0	5	1.0
没收	0	5	0	5	1.0
比比皆是	5	0	0	5	1.0
比比	5	0	0	5	1.0
无敌	0	0	5	5	1.0
延迟	0	5	0	5	1.0
巫术	5	0	0	5	1.0
尊重	0	5	0	5	1.0
安安	0	5	0	5	1.0
大宝	5	0	0	5	1.0
团圆饭	5	0	0	5	1.0
再也	0	5	0	5	1.0
中秋节	5	0	0	5	1.0
三年	5	0	0	5	1.0
默默	4	0	0	4	1.0
门神	4	0	0	4	1.0
路权	0	4	0	4	1.0
证	0	4	0	4	1.0
觉	0	4	0	4	1.0
花钱	0	4	0	4	1.0
腐败	0	4	0	4	1.0
胜	4	0	0	4	1.0
老伴	0	0	4	4	1.0
精力	4	0	0	4	1.0
粮食	0	4	0	4	1.0
移风易俗	0	4	0	4	1.0
炸弹	0	4	0	4	1.0
灯笼	4	0	0	4	1.0
温和	4	0	0	4	1.0
污染物	0	4	0	4	1.0
杀人	0	4	0	4	1.0
有趣	4	0	0	4	1.0
有害	0	4	0	4	1.0
月饼	4	0	0	4	1.0
最底层	0	4	0	4	1.0
易俗	0	4	0	4	1.0
无能	0	4	0	4	1.0
救	0	4	0	4	1.0
效率	0	4	0	4	1.0
操	0	4	0	4	1.0
拜神	4	0	0	4	1.0
扰民	0	4	0	4	1.0
心想	4	0	0	4	1.0
录制	4	0	0	4	1.0
开除	4	0	0	4	1.0
平平安安	0	4	0	4	1.0
平平	0	4	0	4	1.0
布	4	0	0	4	1.0
小小	4	0	0	4	1.0
对此	0	0	4	4	1.0
宝贝	4	0	0	4	1.0
嫌弃	4	0	0	4	1.0
培训	4	0	0	4	1.0
圣诞节	4	0	0	4	1.0
噢	4	0	0	4	1.0
品	4	0	0	4	1.0
吉	4	0	0	4	1.0
各地	0	4	0	4	1.0
口号	0	4	0	4	1.0
发动	0	4	0	4	1.0
原始社会	0	4	0	4	1.0
原始	0	4	0	4	1.0
压	0	4	0	4	1.0
厂家	0	4	0	4	1.0
危害	0	4	0	4	1.0
千多	0	4	0	4	1.0
刹车	4	0	0	4	1.0
典型	0	4	0	4	1.0
公	4	0	0	4	1.0
儿时	4	0	0	4	1.0
傻子	0	4	0	4	1.0
做点事	0	4	0	4	1.0
偏	0	4	0	4	1.0
低收入	0	4	0	4	1.0
伤害	0	4	0	4	1.0
传说	4	0	0	4	1.0
人力	0	4	0	4	1.0
五千	4	0	0	4	1.0
乱窜	4	0	0	4	1.0
买车	0	4	0	4	1.0
买得起	0	4	0	4	1.0
买得	0	4	0	4	1.0
九件	4	0	0	4	1.0
乖	4	0	0	4	1.0
之下	0	4	0	4	1.0
义务	0	4	0	4	1.0
主力	0	4	0	4	1.0
严峻	0	4	0	4	1.0
一阵	4	0	0	4	1.0
高价	0	3	0	3	1.0
香味	3	0	0	3	1.0
顶	0	3	0	3	1.0
面积	0	3	0	3	1.0
青年	0	3	0	3	1.0
青	3	0	0	3	1.0
霸道	0	3	0	3	1.0
雪上加霜	0	3	0	3	1.0
雪上	0	3	0	3	1.0
难题	0	0	3	3	1.0
阳光	3	0	0	3	1.0
送给	3	0	0	3	1.0
进去	0	3	0	3	1.0
这部	3	0	0	3	1.0
运输	0	3	0	3	1.0
辆车	0	0	3	3	1.0
车尾	3	0	0	3	1.0
跟不上	0	3	0	3	1.0
走向	0	3	0	3	1.0
赖以生存	0	3	0	3	1.0
赖以	0	3	0	3	1.0
资金	0	0	3	3	1.0
调皮	3	0	0	3	1.0
说到底	0	3	0	3	1.0
观看	0	0	3	3	1.0
蓝天白云	0	3	0	3	1.0
蓝	0	3	0	3	1.0
莫斯科	3	0	0	3	1.0
药丸	0	3	0	3	1.0
草泥马	0	3	0	3	1.0
茶	3	0	0	3	1.0
脚踏	3	0	0	3	1.0
聪明	3	0	0	3	1.0
联系	0	0	3	3	1.0
聊聊	0	0	3	3	1.0
老祖宗	3	0	0	3	1.0
老祖	3	0	0	3	1.0
耀	3	0	0	3	1.0
美食	3	0	0	3	1.0
罚钱	0	3	0	3	1.0
罗拉	0	0	3	3	1.0
绝大	3	0	0	3	1.0
组	0	3	0	3	1.0
纳	3	0	0	3	1.0
纯属	3	0	0	3	1.0
繁殖	0	3	0	3	1.0
第二次	0	0	3	3	1.0
窗花	3	0	0	3	1.0
种种	0	0	3	3	1.0
私人	0	3	0	3	1.0
祝贺	3	0	0	3	1.0
瞎	3	0	0	3	1.0
看上去	3	0	0	3	1.0
看上	3	0	0	3	1.0
直闯	3	0	0	3	1.0
直升机	0	3	0	3	1.0
直升	0	3	0	3	1.0
白云	0	3	0	3	1.0
疙瘩	3	0	0	3	1.0
疏	0	3	0	3	1.0
由来	3	0	0	3	1.0
环保部门	0	3	0	3	1.0
玩意儿	0	3	0	3	1.0
爆发	0	3	0	3	1.0
焦点	0	0	3	3	1.0
浓度	0	3	0	3	1.0
济南市	0	3	0	3	1.0
洋	3	0	0	3	1.0
没见	3	0	0	3	1.0
汽车尾气	3	0	0	3	1.0
汤圆	3	0	0	3	1.0
氧化	0	3	0	3	1.0
民百	0	3	0	3	1.0
毫无疑问	0	3	0	3	1.0
每月	3	0	0	3	1.0
步伐	3	0	0	3	1.0
横冲直闯	3	0	0	3	1.0
格局	3	0	0	3	1.0
条例	0	3	0	3	1.0
本土	0	0	3	3	1.0
朗德	3	0	0	3	1.0
有害物质	0	3	0	3	1.0
有害物	0	3	0	3	1.0
月子	3	0	0	3	1.0
普特	0	3	0	3	1.0
早晚	3	0	0	3	1.0
新浪网	0	3	0	3	1.0
新文化	0	0	3	3	1.0
新文	0	0	3	3	1.0
新意	0	3	0	3	1.0
斯拉	3	0	0	3	1.0
放下	0	3	0	3	1.0
收费	0	3	0	3	1.0
撤	0	3	0	3	1.0
摩托罗拉	0	0	3	3	1.0
搭载	0	0	3	3	1.0
指挥	3	0	0	3	1.0
托罗	0	0	3	3	1.0
成效	0	3	0	3	1.0
意愿	0	3	0	3	1.0
想干什么	0	3	0	3	1.0
情结	0	3	0	3	1.0
情景	3	0	0	3	1.0
恩	3	0	0	3	1.0
总理	0	0	3	3	1.0
思路	0	3	0	3	1.0
循环	0	3	0	3	1.0
待产	3	0	0	3	1.0
彼此	3	0	0	3	1.0
当权	0	3	0	3	1.0
强调	3	0	0	3	1.0
引燃	0	0	3	3	1.0
延长	0	3	0	3	1.0
度蜜月	0	3	0	3	1.0
平民百姓	0	3	0	3	1.0
干的事	3	0	0	3	1.0
幕后	3	0	0	3	1.0
帝都	0	3	0	3	1.0
差点	3	0	0	3	1.0
尚	0	0	3	3	1.0
小小的	3	0	0	3	1.0
对内	0	3	0	3	1.0
家门口	0	3	0	3	1.0
家门	0	3	0	3	1.0
害苦	0	3	0	3	1.0
宁	0	3	0	3	1.0
季度	0	0	3	3	1.0
妥协	0	3	0	3	1.0
如果说	0	3	0	3	1.0
