WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
政府,汽车	0	14	0	14	1.0
环保,环保局	0	11	0	11	1.0
单手,操作	11	0	0	11	1.0
单手,操作	11	0	0	11	1.0
百姓,社会	0	10	0	10	1.0
环保,蓝天	0	10	0	10	1.0
美少女,青春	0	0	9	9	1.0
根据,申请	0	0	9	9	1.0
时间表,根据	0	0	9	9	1.0
无敌,青春	0	0	9	9	1.0
政,政府	0	9	0	9	1.0
少女,青春	0	0	9	9	1.0
少女,美少女	0	0	9	9	1.0
员工,申请	0	0	9	9	1.0
员工,根据	0	0	9	9	1.0
员工,时间表	0	0	9	9	1.0
倡议,发出	0	9	0	9	1.0
任,青春	0	0	9	9	1.0
任,超女	0	0	9	9	1.0
任,腿	0	0	9	9	1.0
任,美少女	0	0	9	9	1.0
任,无敌	0	0	9	9	1.0
任,帅	0	0	9	9	1.0
任,少女	0	0	9	9	1.0
红绿,红绿灯	8	0	0	8	1.0
申请,避免	0	0	8	8	1.0
爆竹,环保局	0	8	0	8	1.0
根据,避免	0	0	8	8	1.0
时间表,避免	0	0	8	8	1.0
扎堆,避免	0	0	8	8	1.0
扎堆,根据	0	0	8	8	1.0
感受,贴	8	0	0	8	1.0
回家,贴	8	0	0	8	1.0
喜欢,觉得	8	0	0	8	1.0
喜欢,节日	8	0	0	8	1.0
员工,避免	0	0	8	8	1.0
员工,扎堆	0	0	8	8	1.0
同一,避免	0	0	8	8	1.0
同一,根据	0	0	8	8	1.0
同一,员工	0	0	8	8	1.0
今年,做起	0	8	0	8	1.0
今年,低	0	8	0	8	1.0
一起,春联	8	0	0	8	1.0
蓝天,霾	0	7	0	7	1.0
社会,老百姓	0	7	0	7	1.0
百姓,解决	0	7	0	7	1.0
爆竹,蓝天	0	7	0	7	1.0
月份,添	7	0	0	7	1.0
春晚,贴	7	0	0	7	1.0
懒,政府	0	7	0	7	1.0
尾气,汽车	7	0	0	7	1.0
小时候,记得	7	0	0	7	1.0
小时,记得	7	0	0	7	1.0
回家,春联	7	0	0	7	1.0
吃,文化	7	0	0	7	1.0
吃,团圆	7	0	0	7	1.0
今年春节,低	0	7	0	7	1.0
今年,碳	0	7	0	7	1.0
今年,碳	0	7	0	7	1.0
亲戚,贴	7	0	0	7	1.0
亲人,恐怖	7	0	0	7	1.0
亲人,恐怖	7	0	0	7	1.0
产生,霾	0	7	0	7	1.0
产生,爆竹	0	7	0	7	1.0
买不起,老百姓	0	7	0	7	1.0
九件,回家	7	0	0	7	1.0
霾,鞭	0	6	0	6	1.0
避免,须	0	0	6	6	1.0
解决,解决问题	0	6	0	6	1.0
社会,送	0	6	0	6	1.0
申请,须	0	0	6	6	1.0
环保,过节	0	6	0	6	1.0
环保,节约	0	6	0	6	1.0
环保,祥和	0	6	0	6	1.0
烟花爆竹,环保局	0	6	0	6	1.0
每,爆竹	0	6	0	6	1.0
根据,须	0	0	6	6	1.0
春晚,春联	6	0	0	6	1.0
政府,难道	0	6	0	6	1.0
政府,根本	0	6	0	6	1.0
扎堆,须	0	0	6	6	1.0
感受,春联	6	0	0	6	1.0
底层,汽车	0	6	0	6	1.0
底层,政府	0	6	0	6	1.0
市,环保局	0	6	0	6	1.0
市,环保	0	6	0	6	1.0
尽量,燃放烟花	0	6	0	6	1.0
