WORD	FAVOR	AGAINST	NONE	FREQ	SUPPORT
底层	0	18	0	18	1.0
生存	0	16	0	16	1.0
单手	16	0	0	16	1.0
环保局	0	11	0	11	1.0
单手操作	10	0	0	10	1.0
从我做起	0	10	0	10	1.0
超女	0	0	9	9	1.0
美少女	0	0	9	9	1.0
时间表	0	0	9	9	1.0
无敌	0	0	9	9	1.0
红绿灯	8	0	0	8	1.0
红绿	8	0	0	8	1.0
正好	8	0	0	8	1.0
备	8	0	0	8	1.0
危害	0	8	0	8	1.0
节约	0	7	0	7	1.0
腐败	0	7	0	7	1.0
生就	0	7	0	7	1.0
婚假	0	7	0	7	1.0
大宝	7	0	0	7	1.0
口号	0	7	0	7	1.0
九件	7	0	0	7	1.0
中秋	7	0	0	7	1.0
解决问题	0	6	0	6	1.0
秋节	6	0	0	6	1.0
浓度	0	6	0	6	1.0
延迟	0	6	0	6	1.0
布	6	0	0	6	1.0
巫术	6	0	0	6	1.0
嫌弃	6	0	0	6	1.0
吉	6	0	0	6	1.0
刹车	6	0	0	6	1.0
公	6	0	0	6	1.0
儿时	6	0	0	6	1.0
人力	0	6	0	6	1.0
买车	0	6	0	6	1.0
中秋节	6	0	0	6	1.0
锅铲	0	0	5	5	1.0
逊尼派	0	5	0	5	1.0
逊尼	0	5	0	5	1.0
车尾	5	0	0	5	1.0
老伴	0	0	5	5	1.0
罗斯国	5	0	0	5	1.0
纳	5	0	0	5	1.0
端午节	5	0	0	5	1.0
端午	5	0	0	5	1.0
盼望	5	0	0	5	1.0
淡	5	0	0	5	1.0
汽车尾气	5	0	0	5	1.0
月饼	5	0	0	5	1.0
抢劫	0	5	0	5	1.0
情景	5	0	0	5	1.0
差点	5	0	0	5	1.0
屁用	0	5	0	5	1.0
安全事故	0	5	0	5	1.0
士兵	5	0	0	5	1.0
团圆饭	5	0	0	5	1.0
原始	0	5	0	5	1.0
俄罗斯国防部	5	0	0	5	1.0
乱窜	5	0	0	5	1.0
买得起	0	5	0	5	1.0
买得	0	5	0	5	1.0
下滑	0	5	0	5	1.0
蓝天	1	20	0	21	0.952380952381
做起	1	19	0	20	0.95
碳	1	13	0	14	0.928571428571
年货	13	1	0	14	0.928571428571
断崖	0	12	1	13	0.923076923077
亲戚	12	1	0	13	0.923076923077
穷人	0	11	1	12	0.916666666667
少女	1	0	11	12	0.916666666667
劳动力	0	11	1	12	0.916666666667
普通	1	10	0	11	0.909090909091
自觉	1	9	0	10	0.9
粗暴	0	9	1	10	0.9
疯狂	1	9	0	10	0.9
同一	0	1	9	10	0.9
再也	0	9	1	10	0.9
餐饮业	3	24	0	27	0.888888888889
对准	3	24	0	27	0.888888888889
劳动	1	16	1	18	0.888888888889
远离	0	8	1	9	0.888888888889
没收	0	8	1	9	0.888888888889
扎堆	1	0	8	9	0.888888888889
嫌	1	8	0	9	0.888888888889
三年	8	0	1	9	0.888888888889
通工	0	15	2	17	0.882352941176
交通工具	0	15	2	17	0.882352941176
首映	7	0	1	8	0.875
隐患	0	7	1	8	0.875
退	1	7	0	8	0.875
违反	1	7	0	8	0.875
民意	0	7	1	8	0.875
新款	1	0	7	8	0.875
擦	7	1	0	8	0.875
承担	1	7	0	8	0.875
恐	0	7	1	8	0.875
尴尬	0	7	1	8	0.875
宝贝	7	1	0	8	0.875
奇葩	0	7	1	8	0.875
唱	7	1	0	8	0.875
典型	1	7	0	8	0.875
退休	1	13	1	15	0.866666666667
横冲	13	1	1	15	0.866666666667
新衣	13	1	1	15	0.866666666667
弟弟	13	2	0	15	0.866666666667
哈哈哈	13	2	0	15	0.866666666667
倡议	2	30	3	35	0.857142857143
孕	18	1	2	21	0.857142857143
承诺	2	12	0	14	0.857142857143
坑	2	12	0	14	0.857142857143
青年	0	6	1	7	0.857142857143
锵锵	1	0	6	7	0.857142857143
迎接	6	1	0	7	0.857142857143
跟不上	0	6	1	7	0.857142857143
证	0	6	1	7	0.857142857143
稳定	6	1	0	7	0.857142857143
爸爸妈妈	6	0	1	7	0.857142857143
爱护	1	6	0	7	0.857142857143
添个	6	0	1	7	0.857142857143
涨	1	6	0	7	0.857142857143
智商	6	1	0	7	0.857142857143
操	1	6	0	7	0.857142857143
摔	6	1	0	7	0.857142857143
打着	1	6	0	7	0.857142857143
孤单	6	0	1	7	0.857142857143
合适	6	0	1	7	0.857142857143
可爱	6	1	0	7	0.857142857143
出席	6	0	1	7	0.857142857143
低于	0	1	6	7	0.857142857143
传说	6	0	1	7	0.857142857143
三人行	1	0	6	7	0.857142857143
ps	6	1	0	7	0.857142857143
春晚	17	2	1	20	0.85
亲人	22	3	1	26	0.846153846154
晚婚	2	16	1	19	0.842105263158
餐饮	4	25	1	30	0.833333333333
小时候	20	3	1	24	0.833333333333
逆行	15	3	0	18	0.833333333333
妹妹	15	3	0	18	0.833333333333
龙岗	10	2	0	12	0.833333333333
绿灯	10	0	2	12	0.833333333333
直撞	10	1	1	12	0.833333333333
烧纸	1	10	1	12	0.833333333333
横冲直撞	10	1	1	12	0.833333333333
取消	1	19	3	23	0.826086956522
西方	14	2	1	17	0.823529411765
发出	2	14	1	17	0.823529411765
中华民族	14	2	1	17	0.823529411765
宝	18	0	4	22	0.818181818182
申请	0	2	9	11	0.818181818182
毫无	2	9	0	11	0.818181818182
户户	9	0	2	11	0.818181818182
成都	0	9	2	11	0.818181818182
恐怖主义	9	2	0	11	0.818181818182
广大	1	9	1	11	0.818181818182
帅	2	0	9	11	0.818181818182
家户	9	0	2	11	0.818181818182
家家户户	9	0	2	11	0.818181818182
实话	2	9	0	11	0.818181818182
哥哥	9	2	0	11	0.818181818182
失望	0	13	3	16	0.8125
千年	13	1	2	16	0.8125
团圆	17	4	0	21	0.809523809524
今年春节	3	55	10	68	0.808823529412
懒	2	16	2	20	0.8
铁站	12	1	2	15	0.8
越	12	3	0	15	0.8
收	3	12	0	15	0.8
地铁站	12	1	2	15	0.8
土鸡	12	3	0	15	0.8
响	3	12	0	15	0.8
财产	0	8	2	10	0.8
记忆	8	0	2	10	0.8
消防	0	8	2	10	0.8
济南	1	8	1	10	0.8
拍照	8	2	0	10	0.8
怎么办	1	8	1	10	0.8
客	8	0	2	10	0.8
姐姐	8	2	0	10	0.8
大气	2	8	0	10	0.8
呼吸	1	8	1	10	0.8
可笑	2	8	0	10	0.8
几千年	8	1	1	10	0.8
几千	8	1	1	10	0.8
冲	8	1	1	10	0.8
全家	8	1	1	10	0.8
倡导	1	8	1	10	0.8
