ID	TARGET	TEXT	STANCE
1	IphoneSE	根据市场分析机构Localytics周一公布的数据，iPhone SE正式上市的这个周末，销量成绩并不算太好。	NONE
2	IphoneSE	毕竟 6s ／ 6s Plus 全球首周末1300万。今天出乎所有人意料，iPhone SE 真的被（黄牛）低估了	FAVOR
3	IphoneSE	但是看这外形，又可以拿着5s出去装逼了。	AGAINST
4	IphoneSE	iPhone SE官网已经要2-3周发货了，也真是一件神奇的事情……	AGAINST
5	IphoneSE	：如果真的这样，不知道会浇灭多少人马上掏钱购买的热情。	AGAINST
6	IphoneSE	iphone se和5外观几乎没有区别。只是把6s的配置装到了原本的iphone5s里，取消了3D Touch	AGAINST
7	IphoneSE	自己拿到的新机居然是黄屏的，“比旁边人的iPhone 5S还要黄”。从网友晒出的图片来看，iPhone SE屏幕部分区域明显发黄，尤其是屏幕的四边。	AGAINST
8	IphoneSE	iPhone SE的外观太让人失望了，也许价格会成吸引点吧	AGAINST
9	IphoneSE	已经等不及想要去看看这款手机了	FAVOR
10	IphoneSE	黄屏门似乎一直没有回应？	AGAINST
11	IphoneSE	还好我没入坑。你们就当护眼模式吧 	AGAINST
12	IphoneSE	很想尝试下iPhonese……	FAVOR
13	IphoneSE	6S太大，5S想买个用，但是发现这个了以后就一直等着。	FAVOR
14	IphoneSE	顺便向下打压中档安卓机市场。有些今年出货量目标定太高的公司，反应速度和库存管理能力差，会害死一大批自己的上游供应商。	NONE
15	IphoneSE	iPhone se 这价格诚意十足啊，准备入手	FAVOR
16	IphoneSE	好轻，	FAVOR
17	IphoneSE	值得拥有！	FAVOR
18	IphoneSE	不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR
19	IphoneSE	周围是有点黄屏，不过不碍事哈哈哈	FAVOR
20	IphoneSE	小屏的优势还是很明显的，希望手机厂商都能理性回归吧。	FAVOR
21	IphoneSE	何其方便！苹果的屏幕已经够小了，还弄个小圆点，挡屏幕操作，又影响阅读感觉（逼死强迫症）	AGAINST
22	IphoneSE	系统没得说 苹果做的就是系统 开了很多后台依然流畅 再好的安卓时间长了照样卡成屎	FAVOR
23	IphoneSE	刚开封一天的全新iphoneSE 4300买的 64g 3500到4000卖出 想要的快来找我	NONE
24	IphoneSE	中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。	AGAINST
25	IphoneSE	还有什么理由不用它？因为没有情怀么？	FAVOR
26	IphoneSE	双面玻璃反光时尚，但易碎，如果库克能在4的基础下进行改良，相信销售也不会下滑吧。关于SE我相信乔布斯不会出一样的产品	AGAINST
27	IphoneSE	黑粉们哪个牌子派来的去哪里带着去，有意思吗？不喜欢就不要买，到处乱喷 这就是素质。	FAVOR
28	IphoneSE	我一直都是官网买的，重来没出过问题机！	FAVOR
29	IphoneSE	手机中的小钢炮 大屏幕手机可能很多人喜欢 但是无意也会有喜欢小屏幕 高性能的手机 我觉得这是首选 价格上也比较合理	FAVOR
30	IphoneSE	我相信随着iphone5se的发布 iphone5s的销量也会迎来第二春 iphone作为手机行业的风向标 不知道会不会引起其他手机厂商的跟风效仿 一大波小屏手机正在路上。。。	FAVOR
31	IphoneSE	更加的让我们觉得这价格平民化，吸引更多人买买买	FAVOR
32	IphoneSE	是我不选苹果的唯一原因，差评！	AGAINST
33	IphoneSE	硬件升级了 适合小屏用户 精巧 流畅 价格也比较亲民了 要是这个机做成无边框的时候 那就更好了 绝对比6好卖 可惜了 电池续航可以 拍照给力 屏幕效果这些都跟上现在的机子了 就是设计上没有变化 欠缺	AGAINST
34	IphoneSE	没错我爱上了iPhone SE	FAVOR
35	IphoneSE	iphone se来的太及时。所以我这个用了两年的老人机为什么还不坏[拜拜]，我都不能理直气壮的找我爸要求换手机	FAVOR
36	IphoneSE	使用一个多星期..一切正常..速度是比6快一点..就是买了个16G的...空间太捉急..	NONE
37	IphoneSE	iPhone SE基本保持了与iPhone 5s一样的外形，同时加入了玫瑰金配色。iPhone SE将于3月29日在内地首发，售价是3288元起，你会第一时间买吗？	FAVOR
38	IphoneSE	还行吧 就是屏幕太小 每打一个字母 都要重复几次才正确 别说 这段话我打了二十多分钟才打完🙄😤	AGAINST
39	IphoneSE	你身边有意向买这款新手机的人多吗？	AGAINST
40	IphoneSE	再高价买屏幕那么小，价格那么高的SE是不是傻？	AGAINST
41	IphoneSE	已经成功的吸引我了	FAVOR
42	IphoneSE	生活不止眼前的苟且我还关心3个小时后的iPhonese好会卖成什么样子	FAVOR
43	IphoneSE	买了se感觉得买个平板	AGAINST
44	IphoneSE	但到了印度就不灵了，价格甚至比当地的 iPhone 6s 还高。	NONE
45	IphoneSE	你现在出这么个功能机的小屏幕，配置超过苹果6的了，让苹果6情何以堪？！	AGAINST
46	IphoneSE	iPhoneSE真是一款有诚意的作品 SE=sorry everyone	AGAINST
47	IphoneSE	但也与行业的猜测没有什么大出入。把iPhone6s的性能配置，放进了iPhone5S的外形中，iPhoneSE有了一种重拾经典的意味	FAVOR
48	IphoneSE	iPhone SE性能和功能上都和iPhone 6s旗鼓相当了，价格比Apple官方在售的iPhone 6还要低	AGAINST
49	IphoneSE	其成本价格居然在260美元左右，这多少有点出乎意料。	NONE
50	IphoneSE	关掉siri后会出现语音控制界面，今天拿去苹果售后检测没有任何问题，而且home键估计也不怎么好用,重装系统两次然而并没有卵用	AGAINST
51	IphoneSE	该机并没有带来惊喜，因为它跟iPhone5s几乎完全一样，但这并不意味着是一件坏事，因为不少消费者表示该设计是比较经典的	NONE
52	IphoneSE	原来是#iPhoneSE# 没有气压计！	AGAINST
53	IphoneSE	会提升产品销量，进一步提升销售额和盈利水平。但这一举动无疑和苹果做极致产品的文化和战略是相违背的，苹果逐渐不那么高傲了！	NONE
54	IphoneSE	反而要推出更小的iPhoneSE和iPad Pro。要想理解苹果为什么要“往回走”，从苹果的用户群变化来研究或许是最好的着手点。	NONE
55	IphoneSE	不过苹果并没有说电池，内存，续航对比时候用的一项也是3G时长，感觉有猫腻	AGAINST
56	IphoneSE	SE，小手无法掌握那么大的手机	FAVOR
57	IphoneSE	更新升级我都不爱，就喜欢稳定性	FAVOR
58	IphoneSE	SE入手一个星期使用感受：单手持握的体验真的太美好了！	FAVOR
59	IphoneSE	已用21天，爽哭…	FAVOR
60	IphoneSE	买一个回去给姥姥？	FAVOR
61	IphoneSE	但是5s外观没法装逼了，还是等七吧	AGAINST
62	IphoneSE	但应该不会再像iPhone 5c一样以惨淡结局收场了。	NONE
63	IphoneSE	惯了大屏手机 #iPhoneSE# 这小手机放兜里总怕丢了 感受不到它的存在	AGAINST
64	IphoneSE	iPhonese 三星盖乐世S7/S7edge、vivoX5play OPPO R9 meizu pro6 华为P9 zuk 乐视max2都相继问世 堪称手机世界大战啊	NONE
65	IphoneSE	边缘触控不灵敏等。近日又有外媒机构测试了iPhone SE的硬度，在经过一系列测试后发现其耐用度可能不如4.7英寸的iPhone 6s和5.5英寸的iPhone 6s Plus。	NONE
66	IphoneSE	苹果想救市，就用心，拿点新东西出来。现在不是五年前，钱好赚，肾好卖	AGAINST
67	IphoneSE	拍照清楚，支持4k	FAVOR
68	IphoneSE	烦死了。我最后抓狂了。买了Iphone6S plus～坦白说，还是5S手感好。	AGAINST
69	IphoneSE	不光是屏幕更小 iPhone SE的指纹识别和屏幕显示都比6s差 也就是说iPhoneSE的指纹传感器与屏幕素质都不及iPhone 6s。	AGAINST
70	IphoneSE	多了一个玫瑰金，性能大约是5s的两倍和6s差不多，但相比6s少了很多功能	AGAINST
71	IphoneSE	当5S使，低调而富有内涵。	FAVOR
72	IphoneSE	新款系列也应运而生了。	NONE
73	IphoneSE	用了五年爱疯4的胖子终于等到了适合他的机型  爱疯se…	FAVOR
74	IphoneSE	和5S一摸一样的SE。虽然首批有中国。但是一点都不期待。晚安	AGAINST
75	IphoneSE	丑爆了  丑爆了  丑爆了	AGAINST
76	IphoneSE	买了iPhone SE 你是否会跳过iPhone 7升级?：对于很多人来说，iPhone SE却是“最好”的选择	FAVOR
77	IphoneSE	这功能算是很强大了	FAVOR
78	IphoneSE	卖了PLUS入了SE，感觉好轻松啊	FAVOR
79	IphoneSE	上手良好屏幕无异常。	FAVOR
80	IphoneSE	当初5S给自己摔了，恨不得重新买一个。最后因为价格和6差不多，再加上貌似要停产5的消息....终于等回一手掌握的日子了	FAVOR
81	IphoneSE	可能屏幕小了些，但对于喜欢小屏，单手操作的来说还是很不错的	FAVOR
82	IphoneSE	更是人性和习惯，这显然犯了营销大忌。库克领导下的苹果，当乔布斯时代光环褪却后还能走多远，令人堪忧。	AGAINST
83	IphoneSE	64GB版本iPhone SE在安兔兔上跑出了13.4万分的成绩，直逼三星S7、小米5等一众安卓旗舰。值得一提的是iPhone SE的内存也证实是2GB。	FAVOR
84	IphoneSE	在放哪些 App 怎么放上认真思考了下，摈弃了需要大屏体验的选择，一屏幕效率一屏幕生活～所有的需要观感体验的都丢去 Pro 上了～	NONE
85	IphoneSE	没有想买的欲望。。。	AGAINST
86	IphoneSE	一会儿弄个小屏，时不时还整个中不溜，外观耍花样系统却无任何实质性的突破，看来Steve Jobs的理念都快被抛弃差不多了   用来用去都觉得乔帮主的4s最经典，还是决定好好爱护我的小黑	AGAINST
87	IphoneSE	想分期，可是最多分期是三期。不知道五一有没有促销呢。	NONE
88	IphoneSE	iPhoneSE配置还行，外观有一点失望了，继续睡	AGAINST
89	IphoneSE	5S是苹果做得最好看的一部手机。SE结合了5S好看的外观和6S更优秀的配置，是一次很不错的升级。	FAVOR
90	IphoneSE	“PSV和游戏带卖了1200，” / “然后呢？” / “然后我爸给我打了3500。” / 。。。	NONE
91	IphoneSE	国行最低3288元成为了史上最便宜的iPhone，而且中国也在3月31日的首发名单中，据称这回是剑指安卓。。。不过，小屏回得去吗？用安卓的你会买吗？	NONE
92	IphoneSE	你们有钱你们买 我就看看  399刀其实性价比挺高的	FAVOR
93	IphoneSE	可是你太黄了。	AGAINST
94	IphoneSE	哇 今日放晚学翻到屋企 一进入自己房间第一眼就见到一台iphonese5放系我写字台	NONE
95	IphoneSE	后置1200万像素摄像头，支持Live Photos与Apple Pay，很遗憾并不支持3D Touch；16GB和64GB国行售价分别为3288元和4088元。	AGAINST
96	IphoneSE	这是苹果在“中低端”市场的又一次试水，是总结过iPhone5C失败经验后的又一次起航，但iPhone SE的市场前景很难令人放心	NONE
97	IphoneSE	销售人员解释这是苹果特意为亚洲人调的暖屏，我就随口问了句为什么旁边的Iphone6S为什么不暖。问完我分明从销售人员的眼中读到了“你TMD是来闹事的吧？！”	NONE
98	IphoneSE	iPhoneSE 和5S区别好像只有玫瑰金	AGAINST
99	IphoneSE	一天都不用充电，一上午待机都是100%	FAVOR
100	IphoneSE	他说追到了就在一起了呗。是啊追到了就好其他好像也没有什么要考虑的。真的没有吗。只要越看越顺眼就好了，对吗。	FAVOR
101	IphoneSE	只后摄像头提升了！	NONE
102	IphoneSE	，而且电源键，送的程度很大，，一直在摇晃。。非常不好	AGAINST
103	IphoneSE	换货两次，se真的很失望	AGAINST
104	IphoneSE	一天要充电两次，一到10%就自动关机，所以万能又机智额小伙伴们你们说说我要不要去联通存话费送手机搞一台iphone se？	NONE
105	IphoneSE	但事实上，大屏时代后很多人反而想有一款能单手操作，方面携带的小屏手机。4寸iPhone SE 发货已经变更为“2-3 周”。	FAVOR
106	IphoneSE	但是这不妨碍我们对这款产品的期待。	FAVOR
107	IphoneSE	PhoneSE横空出世然而我觉着这个定价并不符合某些人的消费心理 我是说他们巴不得苹果出一款贴满钻石黄金机身定价XX万的限量 就比如我认识一个暴发户傻叉 每每豪掷千金买下最大内存版本 至今都不知道如何连接itunse 对于iPhones 饿的出现他势必咬牙切齿	AGAINST
108	IphoneSE	显然还是有些高。如果说行货价位偏高，美国仅卖2600不到，高价格相反更符合一批国人的“心愿”。	AGAINST
109	IphoneSE	该机在外观上与iPhone5s几无二致，但在配置和功能上又非常接近iPhone6s	FAVOR
110	IphoneSE	不过5已经停产了，也没有指纹识别，如果换手机，我会考虑iPhone SE的，毕竟价格也合适。	FAVOR
111	IphoneSE	价格还很亲民，国产厂商要伤脑筋了。	FAVOR
112	IphoneSE	是我喜欢的款，下手了	FAVOR
