ID	TARGET	TEXT	STANCE
1	转基因食品	反转的有两种，一种是搞有机食品的那帮人，另一种是被搞有机食品忽悠的那帮愚民。	FAVOR
2	转基因食品	这就是科学的吃亏之处，舆论可以随随便便用语言来引导去任何方向，可科学是严谨的，是一个证伪的过程，它永远不能说“事实就是这样”。这就是为什么科学界一直没有人站出来确定的向公众说转基因没有一毛线害处大家随便使用，因为永远不会有那个证据说“它没有害”。我只是希望公共媒体引导人科学的思考	NONE
3	转基因食品	利用转基因技术食品造成慢性死亡，有钱的买天然的，没钱的慢慢走向死亡，留下富的人，消灭贫困人。邓总设计师的步伐更近一步。	AGAINST
4	转基因食品	五、六十年代大力推广“敌敌畏”、“乐果”、“六六六”等剧毒农药，当时只知道他们的好处：可以杀害虫，却不知他们的害处，结果对环境、人类和其他生物造成了极大损害。对于转基因食品，一定要吸取历史教训，要确证无害并让老百姓知情后负责任地推广。不要像“六六六”那样草率推广，给环境和人民群众	NONE
5	转基因食品	说美国人不吃转基因农作物的？人家已经率先吃上转基因动物了	NONE
6	转基因食品	你可千万别再用手机了！跟草甘膦的致癌性一样啊！[doge][doge][doge]再说一遍，非转基因作物也用草甘膦。 对了，你进行人身攻击啊，那我只能把你屏蔽了。素质低下。	FAVOR
7	转基因食品	看喷，话说澳洲转基因喂猪那个，你知道澳洲猪肉很贵吗？难道猪吃了转基因，人再吃猪～～	FAVOR
8	转基因食品	我建议各位网友认真清理一下家庭食品目录，我到底误食了那些转基因产品？官员们的特供制度是自我负责，平民百姓主动拒绝转基因食品也是自我负责。给身边人提个醒一一转基因食品危险	AGAINST
9	转基因食品	希望转基因不是毁灭人类的最后一根稻草	AGAINST
10	转基因食品	想起了林则徐的鸦片战争，鸦片没能毁灭中国，外国人又想利用转基因来毁灭中国。	AGAINST
11	转基因食品	你再看看他评论里面，反转的都是什么样子的人，都是在说农业部要毒死他们，你说这尼玛不是坑爹吗，农业部就算坏，毒死屁民有什么用，留着给官老爷做事才是对的啊。	FAVOR
12	转基因食品	我觉得如果你能转发支持，如果很多人都不选择围观，或许有可能。e租宝让你吃了很直白的钱的亏，你现在的做法就很对。	NONE
13	转基因食品	你们文化人什么都懂，我们农民懂得少，但是最起码得有选择的权利吧。最恶心自以为是的是俯看众生，只要大家不按照你们意向种植转基因就拿出一副朽木不可雕的表情！	AGAINST
14	转基因食品	声称信转基因的都是各路转基因水军扮演的群众演员，正常人谁信?	AGAINST
15	转基因食品	明知转基因不好，为何会越来越多，难不成为了钱，不将人类灭亡不罢休吗？	AGAINST
16	转基因食品	大勢所趨，降低食物價格，即使存在一定風險但顯然收益更大，我個人不排斥	FAVOR
17	转基因食品	胆固醇高，也只能吃花生油了[doge]	NONE
18	转基因食品	农业部只干一件事，就是背逆民意强推转基因，你的前沿外国都禁止了，你卖给谁？	AGAINST
19	转基因食品	反智反科学的社会最终让中国在经济、自主科技及环境付出了惨痛的代价，到头来被每一个人承担。方舟子先知先觉的呼喊换来的是连同他的科普一并被封杀，没人为此负责。	FAVOR
20	转基因食品	前几天我身边一个好朋友胸前长了一块硬硬的东西，一番问诊之后医生告诉她市场上的豆浆大都是转基因大豆磨的。而她持续喝了一年！我一个普通老百姓不懂学术相关的专业问题，只求我在的这片土地能安稳过一生，不要来跟我讲什么我无知浅薄的话，没空跟你撕！	AGAINST
21	转基因食品	小崔，国家人民都快转基因了，还在乎那口吃的干嘛？？？？	NONE
22	转基因食品	你可以去中国进出口检验检疫局网站，中国国家质量监督总局网站，哪些国家禁止进口转基因产品，欧盟将中国转基因产品采取销毁处理。美国向中国大量出口转基因产品，但美国连中国产宠物饲料也禁止含转基因成分。	AGAINST
23	转基因食品	急切呼吁有关权威人士站出来对“转基因”的问题向人们作出交代！转基因的东西究竟是好还是坏？	NONE
24	转基因食品	妈的[微笑]崔化钠祸害中国的力量真明显[微笑]支持者麻烦看一看历年和今年三季度的农产品进口相关信息，你现在大吼大叫中国让你吃转基因，然而美国早就让你吃上了。	FAVOR
25	转基因食品	以前不用转基因水稻，也好好的，贫什么用那个？不要把科技什么的用到吃上面！	AGAINST
26	转基因食品	问题不是基因在哪里，而是基因表达出的是什么。	NONE
27	转基因食品	这条又送了养生帮一个素材，其实转基因没事，学过生物的都知道，再转基因，吃到肚子里也就是氨基酸各种素，大米算不算转基因，还是要吃，只不过害怕转基因的植物对其他本土原生的植被以及肆意生长对环境造成损害，我把这个给老妈讲解过很多次，都没用，恨死那帮天天吃这个好，吃那个的癌的低端宣传了	FAVOR
28	转基因食品	我觉得，转基因可以再非食品（比如棉花）中推广，对于食品，还是不要推广的好。	AGAINST
29	转基因食品	你以前可是认为转基因不安全，坚定反转的哦，还发明了不明病原体！现在成了反滥种要知情权，这转变也没有个说法，你让跟随你的小弟们情何以堪，他们会不会叫你＂避役＂？	NONE
30	转基因食品	在我们分子生物学从业者看来，这里早就没希望了，很多优秀的同学同事都去了欧美，因为那里对我们转基因技术是理解和支持的	FAVOR
31	转基因食品	确实是两边都不能证明，催这个人，一开始就是坚定的转基因有害论。和你并不是同一阵营你的意思也就是说只要控制好转基因从研发到投产这一过程，是可以使用的。我之所以会支持转基因是因为转基因对农业发展会有很深远的影响，这些是对广大人民有利的。而催的无公害，全中国一起种就得饿死人了。	FAVOR
32	转基因食品	美国都特么说转基因致癌了，还特么转，中国杂这么恶心呢	AGAINST
33	转基因食品	为什么有特供食品，为什么外国都不吃，种了卖给某国，那些拿钱发贴说没毒的去死吧	AGAINST
34	转基因食品	转基因唯一的优点就是抗虫，除了这个，其他算不上优点！不管转什么基因都会对果实成份造成影响！单从这一点来说，转基因危险大于利益！	AGAINST
35	转基因食品	我去！让转基因特供给专家吃个几年再说！	AGAINST
36	转基因食品	事实上在世界范围内，已有大量的证据证明转基因的危害问题，只是在利益面前，这些危害算不了什么。反正他们有特供。	AGAINST
37	转基因食品	那么请一个真科学家来定论，转基因当下无害，远久可待，谁敢？	AGAINST
38	转基因食品	反转基因为何是愚昧的做法？懂点知识的人都知道，在插入目的基因的时候是不可控的，因此转基因也出现过很多问题，无论多高精尖实验都不能排除这种隐患	AGAINST
39	转基因食品	那些个说反转是无知的，愚昧的，麻烦你们这些挺转的出来科普一下转基因的好处和安全性如何，还有会不会对原生的生态环境造成不可逆的污染？好让我们这些反转的不再愚昧，可好？	AGAINST
40	转基因食品	请问领导特供吃得是转基因食品吗？如果不是请告诉广大消费者哪些是转基因食品，如果消费者连知情权都没有，就不要谈什么人权，国外媒体报道的一点也不假，别把所有人都当傻子	AGAINST
41	转基因食品	老百姓的权利在哪里谁看到了，丢哪去了，农业部的高官们你们信因果吗你们每坑一个老百姓就会报到你们的子孙身上，我们拭目以待	AGAINST
42	转基因食品	[蜡烛] 能思考下，为何白血病总是缠着年轻人？自化学、转基因农业以来，此风愈演愈烈。	AGAINST
43	转基因食品	21世纪信息时代了，一帮中国人还这么愚昧？估计什么叫转基因都没搞明白吧，跟着别人瞎叫唤	FAVOR
44	转基因食品	对那些不要脸的，支持转基因食品的人，我只想问：转基因食品你吃了吗？你天天在吃吗？？你大爷的，你没吃就闭嘴，得了多少利益，天天鼓吹转基因安全。	AGAINST
45	转基因食品	她这明显是瞎说造谣的。之前有个襄阳什么军队发了个“不吃转基因”的帖子，后来删了。根本没这回事。	NONE
46	转基因食品	害人害己的转基因，中南海有人吃吗	AGAINST
47	转基因食品	支持孟山都，中国反转基因的白痴小丑滚蛋。	FAVOR
48	转基因食品	【崔永元的大妈病】小崔颠倒了主次。当他大叫转基因不安全的时候，当他发现不明病原体的时候，有的人还认为他是认真的。当他只说监管问题的时候，人们就搞不清他的企图了。 O崔永元的大妈病看到不明病原体就笑了。哪万一非转基因也存在不明病原体呢？反正不明嘛。等明了，就不都知道了[哈哈]	NONE
49	转基因食品	我怎么感觉只要是受过高等教育的人一般都不会反对转基因技术的应用，甚至还能够理解和支持该项技术。相反的，就成了网络喷子……别喷我，只是直观感受而已[偷笑][偷笑][偷笑]	FAVOR
50	转基因食品	今晚，泛珠三角小范围转基因大米及转基因玉米品尝会，有深圳顺德网友齐聚广州，更有南宁网友参加。顺便深夜报社一下。	FAVOR
51	转基因食品	在我老家，扶贫组刚开始在村里推广种植草莓时，家家都拒绝，村长无奈自己先种，一年收获近10万元。第二年结果大家都可以想到了。农业部说转基因无害，不妨自己先吃一年，做个表率。	NONE
52	转基因食品	不是迷信技术，是科学。无论你多么抹黑转基因，基因序列就在那摆着，怎么会有问题？牛顿三定律你推翻了？	FAVOR
53	转基因食品	真怀疑这些鼓吹转基因的人还也没有人性！[怒][怒][怒]	AGAINST
54	转基因食品	你确定有自由选择的权利，你知道农民的有些种子已经是转基因的了，我们不知道，比如甜玉米，比如水稻，这是真的，	NONE
55	转基因食品	真的植物转基因能改变人的基因？评论真是智商感人	NONE
56	转基因食品	能不能让引进转基因粮食的专家和学者甚至政府官员先行尝试使用食用各种转基因食品呢？呵呵，为人民服务嘛，领导嘛，肯定要先走一步啦	AGAINST
57	转基因食品	我们不能只批评转基因食物，没了他以后，如何做呢，国人如何自足	NONE
58	转基因食品	其实我想告诉大家，红薯就是大自然转基因产物，你们都别吃	FAVOR
59	转基因食品	反对转基因，不是怕吃死人，而是保卫育种权！从自然获取种子的权利是人类不被大公司控制的最后一项也是最重要权利，是人类作为自然生物的最后堡垒！反对！反对！反对！	AGAINST
60	转基因食品	丧心病狂的转基因，现在真是越来越多了，中国人的体质越来越差，怪病越来越多，什么原因？没有人研究？还是故意忽略呢？百度搜中国人得怪病原因，根本搜不出结果，有的也被删了。现在出现了许多曾经听都没听说过的菜，比如什么冰菜，父母还说很好吃，这菜放几天都不会坏，打死我都不信不是转基因！[吐]	AGAINST
61	转基因食品	且看小崔如何回应?美国家科学、工程和医学学院发表报告,称转基因食品对人体和环境无害,也无需基于安全理由标注。之前种种有关美国科学院、美国和转基因的谣传,因此不攻而破。还记得,崔永元赴美调研,借学者和民众之口反转基因,不知他对报告作何感?科学是严肃的,欲以激情否定,或煽忽民意反对,那就弱爆了	FAVOR
62	转基因食品	必须打破转基因被美国垄断的现状	FAVOR
63	转基因食品	习总正在强调食品安全，这关系国家民族的生死！一旦转基因形成气候且对人民有害那就是几代人的民族灾难！如中国的东北大豆异黄酮转基因大豆就没有，日本就只进口东北大豆！	AGAINST
64	转基因食品	已没安全食物可吃，但必须要吃，结果怎么办？	AGAINST
65	转基因食品	每年5月21日全世界反转大游行的规模能是你的“同志游行”或那只转基因蚊子的“法轮功游行”可比的？	AGAINST
66	转基因食品	初中学过生物，高中学过生物的都应该知道转基因有害，虽然原理和案例忘了不少，但结论记得的	AGAINST
67	转基因食品	对！我也是刚了解转基因的路人，发现这里面大有文章！原来转基因作物就是种子巨头孟三都为垄断粮食市场而改造的一次性作物，它不仅不增产反倒污染土壤及生物多样性，农民留不了种只能买他们的种子和农药，真是赚巨额黑心钱！现在全世界都在反转，孟三都和农业部勾结要来打开中国市场，你说可怕不可怕	AGAINST
68	转基因食品	种过转基因作物的土地，长出可怕的变异杂草	AGAINST
69	转基因食品	现在的5毛党素质低下，只能弄些不是文盲的流氓了，看来正腐真是没钱了。。。素质好的5毛都请不起了。。。以前那个用理论来说转基因的大5毛方肘子在美国的豪宅就是5毛堆起来的。。大家加油，现在的转基因5毛全是新号了！大家坚持不买，等这些傻x现原形！！！！！！！！！！！！！！！！！！！！！	AGAINST
70	转基因食品	因为中国对转基因最有发言权的是对基因狗屁不懂的毛左们和崔永元！[哈哈]	FAVOR
71	转基因食品	中外媒体不是权威发布，转基因无害吗，还那么费劲干什么？!	FAVOR
72	转基因食品	袁隆平说：“。如果有人自愿做实验，吃转基因食品，看第二代甚至第三代会不会受到影响。那样的实验做了，如果证明都是健康的，那才是安全的。”//科學家用含蓄的語言表達对農業政策的憂慮，主糧直接関乎健康，農業必然影響生态环境，如果有人自愿。。。怎么能把同胞全当敢于实驗的勇士呢？	NONE
73	转基因食品	主要是对目前监管工作没有信心，万一出事找谁说理？	NONE
74	转基因食品	不要黑转基因好吗？？没有转基因能有这么多胰岛素？能救那么多人？？[doge]	FAVOR
75	转基因食品	支持转基因。实际上大家都吃过很多了，餐馆大多用的是转基因大豆油。崔永元那个腌臜货，最喜欢鼓动傻蛋们的情绪来保持知名度。	FAVOR
76	转基因食品	支持转基因，请给支持的人有选择的机会。	FAVOR
77	转基因食品	转基因就是转基因 没有啥阴谋论 这就是为了提高产量改良性状的 不是别有用心的人为了消灭中华民族专门制造出来的 希望反转的人 能好好想想自己为什么这么偏激[微笑]	FAVOR
78	转基因食品	喜欢支持转基因的就尽管去吃，不支持的就尽量避免去吃，这问题好解决了吧？各有各的自由，不存在谁说服谁的问题，更没有任何辩论的必要，喜欢就买，不喜欢就不买，如此简单。	NONE
79	转基因食品	当权者有钱人 他们吃得起特供，并不是说转基因不好才不吃。	NONE
80	转基因食品	......转基因浪费水你哪听来的    把抗旱基因引入农作物，使作物获得抗旱能力是最近正在研究的。转入抗虫基因使作物获得抗虫特性。你一直跟我说摆擂台？逗我，我反复强调的就是成本，你那一亩三分地，精心种植，就算比转基因产量高，你能推广？粮食产量暴增貌似和有机农业没有半毛钱关系。	FAVOR
81	转基因食品	至今为发现被证实的转基因食品安全事件。看到这句话尼玛想吐了，全球都还没有对转基因做疾病追踪研究，一旦发展就晚了，比任何就行疾病对人类的危害都大。	AGAINST
82	转基因食品	拿开就喷的，请为自己留德！转基因食品那么好，为什么只给老百姓吃，特权都吃特供？欧美也吃转基因，但至少会明确标识出来。	AGAINST
83	转基因食品	希望那一天尽快的到来，让国人拜托吃毒食品的厄运。[拳头][拳头][拳头][拳头][拳头][拳头]	AGAINST
84	转基因食品	卧槽  欧美转基因研究只限制研究室  国家法律有明文规定 吃转基因更不可能了	NONE
85	转基因食品	其实，转基因食品与非转基因食品的区别就是蛋白质，只要蛋白不致敏和没有毒，都是营养物质	FAVOR
86	转基因食品	FDA官网，文章名为consumer info about food from genetically enginerred plants，主要的ge food被用作食物的原料，包括用淀粉制作的汤和调味汁，甜味剂，糖。另外，转基因的土豆，苹果，番木瓜也是主要产物。在另一篇文章中，fda说明其职责是确保转基因原料食物是安全的，可以被食用	NONE
87	转基因食品	大家都不喜欢的东西干嘛要引进？国内的大米，10年前卖1.7元，现在卖2.2元，你自己的工资都涨了多少了，还要引进转基因？让大家一起吃？	AGAINST
88	转基因食品	你们就听崔永元吹吧……中国转基因的领先地位已经要荡然无存	FAVOR
89	转基因食品	在大中国就不能好好吃饭吗？非得什么都转基因	AGAINST
90	转基因食品	就怕是转基因玉米，老百姓又不知道就麻烦了，所以现在的玉米都不敢吃！	AGAINST
91	转基因食品	我只是回答他关于转基因在美国并没有产业化的论调而已，其次我google了一下，根据time 4月30号的一篇报道，超过90%的大豆棉花及玉米在美国是在转基因工程下种植的。我并不反对他们反对转基因，我只是反对他们为反对而造谣	NONE
92	转基因食品	转基因食品，首先让主席总理们吃，特供领导。	AGAINST
